data,rub_per_uzs,uzs_per_rub,d1_pct,d2_step,ewm_d1_pct,ewm_d2_pct,return_3,return_5,return_10,return_20,level_pct_20,level_pct_60,level_pct_120,dist_to_min_20,dist_to_min_60,dist_to_min_120,zscore_20,zscore_60,vol_5,vol_20,vol_ratio_5_20,range_20,down_streak,day_of_week,month,day_of_month,sig_level,sig_momentum,sig_derivative,sig_acceleration,sig_combined,sig_reversal_closing
2026-07-23,0.006513120000000001,153.5362468371533,-0.006163109539773282,-4.5800000000000354e-05,0.00019869536233030338,-0.0032134636862952703,-0.0004818715029785148,0.010008404951167726,0.02337391348069562,0.04737630075371757,0.7,0.9,0.8,0.03451825026207955,0.10856333655587491,0.10856333655587491,0.8213563738092905,1.5387799418141253,0.004452395102137711,0.00926649275721643,0.48048330892724617,0.041653165602465014,1,3,7,23,False,False,False,False,False,False
2026-07-24,0.00647876,154.35052386567799,-0.005275505441324713,6.0299999999988835e-06,-0.0016267632270442478,-0.0018254585893745512,-0.01058933125639483,0.00040610673349661397,0.02494672579167756,0.02906064360367222,0.65,0.8833333333333333,0.7833333333333333,0.02494672579167756,0.10271510464182132,0.10271510464182132,0.33059088321753,1.3267356277596252,0.005073981008498002,0.009106607414540795,0.557175771121551,0.03748890615038247,2,4,7,24,False,False,False,False,False,False
2026-07-25,0.00649224,154.03004201939547,0.002080645061709241,4.784000000000038e-05,-0.00039498773251966934,0.0012317754945245785,-0.009349188450158863,-0.0036861635355248668,0.022636736378342626,0.01175821555637624,0.65,0.8833333333333333,0.7833333333333333,0.027079276135211217,0.1050094633787666,0.1050094633787666,0.45693511096999406,1.34789187182936,0.004290545280946074,0.008153181033340716,0.5262418758274584,0.03748890615038247,0,5,7,25,False,False,False,False,False,False
2026-07-28,0.00650744,153.6702605018256,0.0023412566386948885,1.7200000000001936e-06,0.0005163729178687682,0.0009113606503884375,-0.000872085882035134,-0.0062094347978802755,0.027046734016511698,0.009404651292654664,0.65,0.8833333333333333,0.7916666666666666,0.02948393230892865,0.10759657412072277,0.10759657412072277,0.6093730874876826,1.377884997355104,0.0037052269438504737,0.008110787864552474,0.4568270069106185,0.03748890615038247,0,1,7,28,False,False,False,False,False,False
2026-07-29,0.00653077,153.12130116356877,0.0035851271775075855,8.13000000000029e-06,0.0015403468735868397,0.0010239739557180716,0.008027770746253937,-0.0034698962845864934,0.016850005060295326,0.0020468190682523257,0.8,0.9333333333333333,0.825,0.033174763133456686,0.11156744870031732,0.11156744870031732,0.8949599987791828,1.4412178652123295,0.00415026321150617,0.007788539153114316,0.5328679910207103,0.03748890615038247,0,2,7,29,False,False,False,False,False,False
2026-07-30,0.00659371,151.65968779336671,0.009637454695234915,3.960999999999982e-05,0.004247684929144846,0.0027073380555580062,0.015629428363708175,0.012373486132606137,0.022505729943646635,0.005439125104452103,1.0,1.0,0.875,0.0431319381054156,0.12228012962786461,0.12228012962786461,1.6238595610013424,1.6684991966518319,0.004749249836742351,0.007955493539985595,0.5969773984318955,0.0431319381054156,0,3,7,30,False,False,False,False,False,False
2026-07-31,0.006651229999999999,150.3481310975564,0.008723465241874395,-5.420000000000771e-06,0.005752232560336967,0.0015045476311921213,0.022096246757557392,0.02662083485111344,0.027037752484894373,0.016483860762879,1.0,1.0,0.9083333333333333,0.05223166331016715,0.1320703013303195,0.1320703013303195,2.055948201618832,1.8428689643313187,0.0032431261858433327,0.008137082222126606,0.3985613144014354,0.05223166331016715,0,4,7,31,False,False,False,False,False,False
2026-08-01,0.0066440200000000005,150.51128684140022,-0.001084010025213189,-6.472999999999809e-05,0.0034474191971030077,-0.0023048133632339596,0.01734098735677425,0.023378679777704026,0.019606338605273832,0.03015089401447546,0.95,0.9833333333333333,0.9,0.05109103363829215,0.13084312577443113,0.13084312577443113,1.717040850308988,1.7351960698116187,0.004020211639311822,0.007377456910833881,0.544931903757797,0.05223166331016715,1,5,8,1,False,False,False,False,False,False
2026-08-04,0.00667826,149.73960283067746,0.005153506461449409,4.144999999999843e-05,0.004020022546094459,0.0005726033489914517,0.012822826602929105,0.02624995389892182,0.019877521723858926,0.03142814339351063,1.0,1.0,0.9416666666666667,0.056507838071718774,0.13667093312999556,0.13667093312999556,1.7917799161046029,1.7946866178382963,0.003852389415453114,0.007402606222912199,0.5204098799054554,0.056507838071718774,0,1,8,4,False,False,False,False,False,False
2026-08-05,0.00679347,147.20017899541764,0.01725149964212247,8.097000000000052e-05,0.008465833487461216,0.004445810941366757,0.021385518167316597,0.04022496581566948,0.03661549307165157,0.07278245641185177,1.0,1.0,0.975,0.0747341826621124,0.1562802113260986,0.1562802113260986,2.369178830293919,2.1419314225815067,0.005989932112841669,0.005961393524251531,1.0047872344736244,0.0747341826621124,0,2,8,5,False,False,False,False,False,False
