horizon_days,epsilon_bps,strategy,mean_lift,mean_hit_rate,mean_frequency,worst_fold_lift,mean_advantage_bps,mean_regret_bps
1,0,pooled_with_corridor_thresholds,1.8713266917488292,0.9714841832887098,0.8342233009708739,1.6285491751044396,1.9519502482485247,1.0032982697923685
1,0,per_corridor,1.7868035557865156,0.9423895369462979,0.7807038834951456,1.319395108088907,2.046087021933905,3.6293752170505122
3,0,pooled_with_corridor_thresholds,1.3797629018203903,0.553676890595453,0.5974059670565623,0.0,3.603069465078684,27.654999358372322
3,0,per_corridor,1.3559112593602791,0.5415257291630261,0.4774468085106383,0.7916550246810096,6.138987351423208,36.99392185438935
3,50,per_corridor,1.301585876483843,0.7999044839641283,0.6562981030703561,0.8190299836194004,13.614960466935733,31.659610253524185
3,50,pooled_with_corridor_thresholds,1.2885937457806713,0.7943554998212761,0.6943639270234192,0.9007849697593616,9.267346338178669,32.00194336103532
5,0,per_corridor,1.2370194889459676,0.42281098493918456,0.5526763990267639,0.0,7.076599034506776,80.81813545409408
1,50,pooled_with_corridor_thresholds,1.235540194621763,0.9717395120734407,0.6932038834951457,1.032346868547832,0.2586238252946188,3.7417054297761076
1,50,per_corridor,1.2178051186922654,0.9510046325794796,0.773687182065095,1.0,-0.5346116147401487,6.651023182615807
10,0,per_corridor,1.2088333106289908,0.2809045542448867,0.5206866918480324,0.0,7.507294291333435,188.25152342035187
3,100,pooled_with_corridor_thresholds,1.1727555943018222,0.8885321031973131,0.5982978723404255,0.969585629720351,10.29186224114954,34.25032452345958
3,100,per_corridor,1.1561912405465926,0.8702648005310026,0.5954579165087266,0.5020080321285141,11.499100641641103,39.493300611734504
5,50,per_corridor,1.1105279798778143,0.6063316104041894,0.5849255927120466,0.7109847138286527,17.269569453246977,76.22391343217417
5,50,pooled_with_corridor_thresholds,1.1104313436433515,0.6219144325339016,0.5162168279296101,0.5470459518599562,10.248764183674405,74.8191136032317
10,0,pooled_with_corridor_thresholds,1.1079773115864815,0.2676815616659442,0.5897435897435898,0.0,-2.215329822053744,173.0787253189083
10,50,per_corridor,1.0957594671818778,0.4630480530287052,0.619603230612405,0.0,4.5215175848623215,148.95166473764377
1,100,pooled_with_corridor_thresholds,1.0807393901058546,0.9487242630227373,0.754368932038835,0.9337676438653636,-1.6864360405550591,14.797079343601805
5,0,pooled_with_corridor_thresholds,1.0777023888082624,0.37712435840095954,0.510948905109489,0.0,0.06241736431398195,77.82803419260829
20,0,per_corridor,1.0701637618538664,0.2087358024950982,0.5772690035450438,0.0,29.204346691007476,241.32253002870507
20,50,per_corridor,1.0547006021199974,0.36593732628919634,0.6357794184653066,0.0,19.486028773491125,223.34364722402876
1,100,per_corridor,1.050221536352679,0.9338369409028434,0.7263651505829745,0.8995360287851529,-1.8219234609242392,20.732838292964715
10,100,pooled_with_corridor_thresholds,1.048014256028756,0.5960270172420564,0.6679447240194903,0.0,5.004477700217452,143.5218153988904
20,100,per_corridor,1.0316309889120885,0.46846453208989985,0.6915159787671975,0.2061005770816158,23.946934359852946,231.95355055772288
20,100,pooled_with_corridor_thresholds,1.0270590494576008,0.461234663532662,0.7319029440166137,0.2850627137970353,16.08048403626287,233.46056860974278
5,100,pooled_with_corridor_thresholds,1.0269159293539787,0.7411745132808347,0.6904583262603973,0.8353055826256438,12.750971329149555,70.55594351824776
20,50,pooled_with_corridor_thresholds,1.0264960184415737,0.35335373325130914,0.7141337776443458,0.0,19.249275722478053,221.51285313657968
10,100,per_corridor,1.0185141901636847,0.5793111722165816,0.6333333333333334,0.0,12.638941023097352,142.30786644442225
5,100,per_corridor,1.0119436726902182,0.7224449030288447,0.6291642618683868,0.4233700254022016,15.270332436280146,83.06374461145137
20,0,pooled_with_corridor_thresholds,1.0048183068175418,0.20252687406322273,0.6325359042374603,0.0,2.7469735733213705,238.06814686984822
10,50,pooled_with_corridor_thresholds,0.9850629416828462,0.4382445671356131,0.629059829059829,0.0,-0.5373651047727737,151.0360635276665
