outer_fold,corridor,frontier_point_id,common_signal_count,comparison_status,left_hit_rate,right_hit_rate,delta_hit_rate,left_mean_regret_bps,right_mean_regret_bps,delta_mean_regret_bps
outer_2022,RUB_AMD,budget_00,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_01,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_02,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_03,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_04,2,active,1.0,1.0,0.0,0.0,0.0,0.0
outer_2022,RUB_AMD,budget_05,6,active,0.8333333333333334,1.0,0.16666666666666663,31.4865519471,0.5509501771499999,-30.93560176995
outer_2022,RUB_AMD,budget_06,15,active,0.8666666666666667,0.8666666666666667,0.0,28.5857349196,33.37048146146,4.784746541860002
outer_2022,RUB_AMD,budget_07,18,active,0.6111111111111112,0.7777777777777778,0.16666666666666663,66.34831616035001,45.26554147631111,-21.082774684038903
outer_2022,RUB_AMD,budget_08,34,active,0.5294117647058824,0.47058823529411764,-0.05882352941176472,104.24555699816766,107.06584962051473,2.8202926223470683
outer_2022,RUB_AMD,budget_09,44,active,0.5,0.5227272727272727,0.022727272727272707,177.92223250167046,173.28693654583637,-4.635295955834096
outer_2022,RUB_AMD,budget_10,44,active,0.5,0.5227272727272727,0.022727272727272707,177.92223250167046,173.28693654583637,-4.635295955834096
outer_2022,RUB_AMD,budget_11,44,active,0.5,0.5227272727272727,0.022727272727272707,177.92223250167046,173.28693654583637,-4.635295955834096
outer_2022,RUB_AMD,budget_12,44,active,0.5,0.5227272727272727,0.022727272727272707,177.92223250167046,173.28693654583637,-4.635295955834096
outer_2022,RUB_AMD,budget_13,44,active,0.5,0.5227272727272727,0.022727272727272707,177.92223250167046,173.28693654583637,-4.635295955834096
outer_2022,RUB_KGS,budget_00,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_01,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_02,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_03,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_04,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_05,4,active,1.0,1.0,0.0,1.519822508575,0.0,-1.519822508575
outer_2022,RUB_KGS,budget_06,7,active,1.0,1.0,0.0,0.8684700048999999,0.8684700048999999,0.0
outer_2022,RUB_KGS,budget_07,13,active,0.7692307692307693,1.0,0.23076923076923073,63.062408091092315,1.1846453491615383,-61.87776274193078
outer_2022,RUB_KGS,budget_08,35,active,0.5428571428571428,0.6,0.05714285714285716,87.78231097776286,85.69327770104572,-2.089033276717146
outer_2022,RUB_KGS,budget_09,41,active,0.4878048780487805,0.4634146341463415,-0.02439024390243899,135.4066204228878,134.79392144886097,-0.6126989740268414
outer_2022,RUB_KGS,budget_10,48,active,0.4583333333333333,0.4166666666666667,-0.04166666666666663,172.62377610425628,189.8547984515583,17.23102234730203
outer_2022,RUB_KGS,budget_11,48,active,0.4583333333333333,0.4166666666666667,-0.04166666666666663,172.62377610425628,189.8547984515583,17.23102234730203
outer_2022,RUB_KGS,budget_12,48,active,0.4583333333333333,0.4166666666666667,-0.04166666666666663,172.62377610425628,189.8547984515583,17.23102234730203
outer_2022,RUB_KGS,budget_13,48,active,0.4583333333333333,0.4166666666666667,-0.04166666666666663,172.62377610425628,189.8547984515583,17.23102234730203
outer_2022,RUB_KZT,budget_00,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_01,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_02,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_03,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_04,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_05,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_06,1,active,1.0,1.0,0.0,0.0,0.0,0.0
