metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,replicates
delta_hit_rate,-0.021030449243490817,-0.04699920581236099,0.004163261550958725,0.012789289567924059,0.049,5000
delta_mean_regret_bps,1.6120312655311666,-2.0723119828127214,5.630452958417424,1.9504126360304659,0.8034,5000
delta_signals,-82.978,-114.0,-54.0,15.074022728928282,0.0,5000
