hypothesis_id,horizon_days,strategy,model,test_year,validation_auc,feature_count,hyperparameters,corridor,threshold,test_rows,signals,signals_per_week,signal_hit_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean
H002_combined_factors,3,per_corridor,logistic,2022,0.6740804106073567,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.7663265669387844,246,4,0.07909604519774012,1.0,0.4535,0.0,0.75,2.2050716648291067,71.9101436686
H002_combined_factors,3,per_corridor,logistic,2022,0.6504495825305073,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.783958099981082,247,7,0.1384180790960452,0.8571428571428571,0.46228571428571424,0.14285714285714285,0.7142857142857143,1.854140914709518,-7.941473830614283
H002_combined_factors,3,per_corridor,logistic,2022,0.6786363636363637,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS,0.7906493753306423,247,4,0.07909604519774012,1.0,0.4535,0.0,0.75,2.2050716648291067,18.969438929875
H002_combined_factors,3,per_corridor,logistic,2022,0.681312656641604,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.8139391978438588,247,0,0.0,,,,,,
H002_combined_factors,3,per_corridor,logistic,2022,0.6659189099368561,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.7921010738859817,247,5,0.09887005649717515,1.0,0.5704,0.2,1.0,1.753155680224404,272.56894159444
H002_combined_factors,3,per_corridor,logistic,2023,0.6471283548880545,26,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_TJS,0.7384206224846319,247,31,0.612994350282486,0.8387096774193549,0.7081290322580647,0.5806451612903226,0.8064516129032258,1.1844023323615158,16.326143821958066
H002_combined_factors,3,per_corridor,logistic,2023,0.6250676406926408,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.5805123867484608,247,40,0.7909604519774012,0.85,0.6988499999999999,0.6,0.8,1.2162838949703085,16.469660043195
H002_combined_factors,3,per_corridor,logistic,2023,0.6811002178649238,26,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KGS,0.5918709497785661,247,28,0.5536723163841808,0.9285714285714286,0.7377857142857144,0.6071428571428571,0.8214285714285714,1.2585923129054117,33.79145475982857
H002_combined_factors,3,per_corridor,logistic,2023,0.6187499999999999,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.6488030863675354,247,34,0.672316384180791,0.7352941176470589,0.7543529411764706,0.6470588235294118,0.8529411764705882,0.9747348721147849,29.052566952226478
H002_combined_factors,3,per_corridor,logistic,2023,0.650890756302521,26,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT,0.5339318940615716,247,27,0.5338983050847458,0.6666666666666666,0.5888148148148148,0.48148148148148145,0.7037037037037037,1.1322178890426469,23.96403925890741
