metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
lift,1.2152961007622718,1.1552888040253269,1.280899876391503,0.0320746563249787,,0.0076,,5000,full_years_only,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,22.186686835425345,14.78459860100801,30.707734653691062,4.0689976619403625,,,,5000,full_years_only,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_mean_regret_bps,52.0499824086278,41.613635251877206,63.9814488002559,5.807180272734732,,,,5000,full_years_only,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-29.86329557320245,-39.200476861775215,-21.607845056793916,4.527814105841889,,,1.0,5000,full_years_only,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_false_push_regret_bps,-33.90699959044168,-60.454081159786334,-7.684006644595765,13.499700475659685,,,0.9906,5000,full_years_only,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-85.97509779558759,-127.910943070525,-54.124369774530024,18.62179446168999,,,1.0,5000,full_years_only,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_hit_rate,0.8569046858674481,0.8034343028037922,0.9052863436123348,0.025773073799059305,,,,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_hit_rate,0.7122617466857704,0.6715314553301093,0.7531416742476814,0.020815706382075045,,,,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_hit_rate,0.14464293918167775,0.1044804836488117,0.18621171979225976,0.021168232935270526,1.0,,1.0,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
lift,1.2034633969233597,1.1440668163169878,1.2679552682418453,0.031826381111364765,,0.0016,,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,23.223573665280618,16.31817104134661,30.976148610229657,3.742787264788442,,,,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_mean_regret_bps,47.03631576111197,37.972219704923,57.2502904709214,4.944315647485785,,,,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-23.81274209583136,-31.67928406845953,-16.601704753178076,3.813900436745689,,,1.0,5000,leave_2022_out,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
