date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous,return_1,return_3,return_5,return_10,return_20,distance_to_min_5,distance_to_mean_5,range_position_5,distance_to_min_10,distance_to_mean_10,range_position_10,distance_to_min_20,distance_to_mean_20,range_position_20,distance_to_min_60,distance_to_mean_60,range_position_60,volatility_5,volatility_10,volatility_20,down_streak,month_sin,month_cos,weekday_sin,weekday_cos,eligible_for_signal,has_full_window,message_hit,future_regret_bps,moment_advantage_bps,score,threshold,hypothesis_id,horizon_days,strategy,model,test_year,validation_auc,feature_count,hyperparameters
2022-01-15,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,15.6948,0.156948,6.3715370696,1.0,False,0.016068260976525695,0.012443635941400855,0.011497512309556424,0.05797179604713243,0.05556676486017498,0.016068260976525695,0.010368398080565111,1.0,0.05613501473695548,0.027174158468912024,1.0,0.05935715539236197,0.03921832835016459,1.0,0.07659381816685196,0.040922239896006074,0.9941239316239332,0.007835516783563909,0.01230508136593236,0.00993598305704708,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,-51.270228136,0.8231235984761328,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-02-11,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,15.5481,0.155481,6.4316540285,1.0,False,-0.0028027552944496215,-0.008323447246565419,-0.019647282104957697,-0.049255209862048566,0.006571025338909742,0.0,-0.005509701782753673,0.0,0.0,-0.015855835327180934,0.0,0.0,-0.0231246177233132,0.0,0.04945529651578773,0.008431321488600485,0.47231354347966226,0.00239245593864328,0.004464236291952472,0.008014595818152146,5,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,True,1,0.0,38.2865772734,0.8233455953412187,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-04-30,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,15.6695,0.156695,6.3818245636,1.0,False,-0.010201503379445476,-0.0018854584020739917,-0.0038714845140619403,-0.07710294134969897,-0.09410193557338753,0.0,-0.005340987860583235,0.0,0.0,-0.02432235873704558,0.0,0.0,-0.04682420219164429,0.0,0.007808027990558353,-0.12916872139512336,0.015536415874275242,0.006876971503108365,0.01063390954145463,0.024006646200961497,2,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,33.1662903277,0.853057379301493,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-05-07,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,14.2047,0.142047,7.0399234056,1.0,False,-0.025045299802328058,-0.09348096620823887,-0.10343108171225868,-0.13532548484885376,-0.17557371530720034,0.0,-0.05983307630702839,0.0,0.0,-0.08104744043179068,0.0,0.0,-0.11494135778526926,0.0,0.0,-0.20819201790900665,0.0,0.01714567797522469,0.016518688397803724,0.026176121700872086,5,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,282.7905940391,0.8020310420061094,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-05-14,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.9887,0.139887,7.1486271062,1.0,False,-0.0073374443837326275,-0.015206234556167986,-0.08383162941180311,-0.11042784829445729,-0.16088610024713856,0.0,-0.023134110522500806,0.0,0.0,-0.06687007543112056,0.0,0.0,-0.1130100982944624,0.0,0.0,-0.21738714487879418,0.0,0.03448779905923217,0.025258604626164242,0.020219478201516868,2,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,True,True,1,31.8113906224,104.192036737,0.8183261077758103,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-05-20,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.5836,0.135836,7.3618186637,1.0,False,-0.02234761517478634,-0.025860214282640848,-0.03608404709021351,-0.13311847857302395,-0.19995759367674593,0.0,-0.02107658802282497,0.0,0.0,-0.045158097626743054,0.0,0.0,-0.10298242034144989,0.0,0.0,-0.2345705842140372,0.0,0.009087020045811859,0.02459493073435263,0.01869438610910926,2,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,True,True,0,554.9338908684,-128.268765778,0.8151336507650847,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-06-24,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,12.9881,0.129881,7.6993555639,1.0,False,0.00587037166112947,-0.026503369135867372,-0.023583274444060165,-0.07101116523256723,0.03977168109003859,0.00587037166112947,-0.011489406395891355,0.17652538425710412,0.00587037166112947,-0.025834537154960646,0.09707991803278788,0.00587037166112947,-0.050450115201856494,0.039815106628848025,0.03977168109003859,-0.13741837399390888,0.07108109654896125,0.010681069206700864,0.010043641561655572,0.03383260316634918,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,True,True,1,0.0,65.4532500981,0.8090665872841538,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-09-10,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,14.919,0.14919,6.7028621221,1.0,False,-0.005963287470433509,-0.007596519703057303,-0.00017424404889554435,0.005039005133318009,-0.005612136077636887,0.0,-0.0069676670429615895,0.0,0.002472752684414825,-0.0028699486831255117,0.16140350877192247,0.022192379634260684,0.0008016341261349869,0.6102110022607361,0.19073843501580323,0.037109505342537874,0.8130230659318228,0.00669305505868095,0.004749263184322327,0.006635127328246573,2,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,True,True,1,5.8314900462,36.84439492,0.8354143163520141,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-09-17,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,14.4317,0.144317,6.9291906012,1.0,False,-0.005560761831261529,-0.025826397467311968,-0.03266304712112067,-0.03283159982843653,-0.011195538228583546,0.0,-0.016447852660389284,0.0,0.0,-0.028061011451769757,0.0,0.0,-0.02795266693855636,0.0,0.1518452894039526,-0.0059248304571346555,0.6472409335238488,0.00430877051481346,0.006343791740725415,0.00585000660626869,7,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,True,True,1,33.398698698,66.8523074321,0.8212833492184194,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-09-24,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.9574,0.139574,7.1646581742,1.0,False,-0.024810480349344965,-0.028076821302731148,-0.03286515102170917,-0.06445472216636494,-0.05974050470890979,0.0,-0.02502982735063264,0.0,0.0,-0.03704746253375446,0.0,0.0,-0.05233240268981332,0.0,0.0575710735285202,-0.0462340353102646,0.33456627036547776,0.015123485553464938,0.010483563303425491,0.0087191608276924,2,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,146.1807824817,0.8290297079874495,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-11-12,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,15.2019,0.152019,6.5781251028,1.0,False,-0.01885879141092417,-0.01223505867370156,-0.03215147482953351,-0.017158780136158347,-0.03291495168359926,0.0,-0.013173781746515956,0.0,0.0,-0.019245545705509848,0.0,0.0011327191185863672,-0.013464526152252798,0.03293757181156233,0.11515467169401616,0.01617578624294458,0.726893869235043,0.010434032434076453,0.008997455592414662,0.008301657443412745,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,74.9230995947,0.8071879826017639,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
2022-11-26,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,15.3094,0.153094,6.5319346284,1.0,False,0.002153634667626747,-0.0035732184349432927,0.0021077160736262535,0.007071484485491997,-0.010208633698189029,0.002153634667626747,-0.0012160719831106892,0.35300429184549365,0.004771374378966575,0.0009467195644046189,0.5466165413533884,0.007071484485491997,-0.00572590536230877,0.21287128712871695,0.1230404706538244,0.017889787226545106,0.776671605852936,0.003771128798208203,0.0028322598570513723,0.006607847986266462,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,True,True,1,0.0,6.3412841847,0.8528306820749852,0.7996266789832037,H002_combined_factors,3,pooled_with_corridor_thresholds,hist_gradient_boosting,2022,0.6371534458287336,31,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 7}"
