hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor,threshold,test_rows,target_rate,roc_auc,pr_auc,brier,log_loss,balanced_accuracy,candidate_precision,candidate_recall,signals,signals_per_week,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6586752878094937,0.8140852410476984,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.8816790144065565,247,0.5708502024291497,0.6373611668673892,0.7031652797992354,0.2738193725992454,0.8322868648261925,0.5,0.0,0.0,0,0.0,,,,,,,,,,,,
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6586752878094937,0.8140852410476984,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS,0.8229601572430166,247,0.5546558704453441,0.6546781685467817,0.6850206935492116,0.2571792977382034,0.7805609077209072,0.5,0.0,0.0,0,0.0,,,,,,,,,,,,
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6586752878094937,0.8140852410476984,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.9029764751147069,247,0.5101214574898786,0.6925751016660107,0.7151912115147857,0.23386654647455027,0.6915055381801762,0.5,0.0,0.0,0,0.0,,,,,,,,,,,,
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6586752878094937,0.8140852410476984,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.8327574124911722,246,0.5772357723577236,0.6396939328277356,0.7016439923594691,0.2719320708255789,0.8302781745222415,0.5070422535211268,1.0,0.014084507042253521,1,0.01977401129943503,1.0,0.20654329147389294,1.0,0.0,0.468,0.0,1.0,2.1367521367521367,491.3666353158,11.8147076842,4913.666353158,118.147076842
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6586752878094937,0.8140852410476984,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.8123090243940269,247,0.5384615384615384,0.6454953172404695,0.6798143217434969,0.2637511778712081,0.8232433487655859,0.5,0.0,0.0,0,0.0,,,,,,,,,,,,
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6439250809898457,0.6905543835656538,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.6400788825811764,247,0.7327935222672065,0.5534907081868408,0.7704294675777353,0.24175619253595168,0.6755638730450543,0.5693956135945086,0.8117647058823529,0.3812154696132597,38,0.7514124293785311,0.7105263157894737,0.5524256173381022,0.8299689373634387,0.2894736842105263,0.7250526315789473,0.631578947368421,0.8157894736842105,0.9799651567944252,17.134663074099997,39.73045418909737,171.34663074099996,397.3045418909737
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6439250809898457,0.6905543835656538,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS,0.6351897767672247,247,0.7489878542510121,0.557279860505667,0.7969409863665323,0.2293671299466391,0.6481531715112506,0.5253269398430689,0.7722772277227723,0.42162162162162165,43,0.8502824858757062,0.6744186046511628,0.5251593250655096,0.7950688481822018,0.32558139534883723,0.7002790697674418,0.6046511627906976,0.7906976744186046,0.9630712008501594,-6.574492305725582,57.2144016817186,-65.74492305725582,572.1440168171861
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6439250809898457,0.6905543835656538,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.7811059271130468,247,0.6275303643724697,0.5935483870967742,0.7197040173155458,0.24092587669898696,0.6738525402763593,0.5619565217391305,0.8157894736842105,0.2,20,0.3954802259887006,0.85,0.6395767041130426,0.9476322080405041,0.15000000000000002,0.5672999999999999,0.42375000000000007,0.7,1.498325401022387,24.185858649885,25.816986404725004,241.85858649884997,258.16986404725003
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6439250809898457,0.6905543835656538,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.6091679068898161,247,0.7449392712550608,0.5723775017253278,0.7995141029573891,0.22608743089230168,0.6407944686012441,0.5357142857142857,0.773109243697479,0.5,45,0.8898305084745763,0.6444444444444445,0.49835546011952203,0.7678110864309596,0.3555555555555555,0.6791999999999999,0.5777777777777777,0.7777777777777778,0.9488286873445886,-8.05313316556889,63.347950743400006,-80.53133165568889,633.4795074340001
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6439250809898457,0.6905543835656538,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.5918194412560738,247,0.7368421052631579,0.5824175824175825,0.7985050246307681,0.22591294918794722,0.6401587749489069,0.5505494505494506,0.7768595041322314,0.5164835164835165,46,0.9096045197740114,0.6086956521739131,0.4645658371764493,0.7360697764475115,0.3913043478260869,0.6757391304347826,0.5869565217391305,0.7608695652173914,0.9007849697593617,-9.164744825297827,70.13879870993914,-91.64744825297826,701.3879870993914
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2024,0.5881562970197715,0.7893362373687389,7790,1225,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.6177363967068974,248,0.75,0.6073534512660423,0.8002595516162114,0.25697566416105566,0.7091033479061188,0.5698924731182795,0.8620689655172413,0.26881720430107525,39,0.7711864406779662,0.9743589743589743,0.8681871352137286,0.9954594139347628,0.02564102564102566,0.6949230769230769,0.6153846153846154,0.7948717948717948,1.402110545347207,12.79245829994872,6.291540912802565,127.9245829994872,62.91540912802565
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2024,0.5881562970197715,0.7893362373687389,7790,1225,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.6186803062861963,248,0.7338709677419355,0.6477688977688978,0.8166978832934346,0.24363549730697198,0.6804528116409976,0.5877455877455877,0.8709677419354839,0.2967032967032967,41,0.8107344632768362,0.975609756097561,0.8740465298832191,0.9956815797292836,0.024390243902439046,0.6806829268292681,0.5853658536585366,0.7804878048780488,1.4332807797047444,12.95529171947805,6.620316333019512,129.5529171947805,66.20316333019512
