hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,threshold,evaluation_weeks,candidates,candidates_per_week,candidate_precision,candidate_recall,balanced_accuracy
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2022,0.7846587564404102,50.57142857142857,0,0.0,0.0,0.0,0.5
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2022,0.8178903403970077,50.57142857142857,0,0.0,0.0,0.0,0.5
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2022,0.8206567289838606,50.57142857142857,0,0.0,0.0,0.0,0.5
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2022,0.7977091757487391,50.57142857142857,2,0.03954802259887006,1.0,0.014184397163120567,0.5070921985815603
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2022,0.8252838263410619,50.57142857142857,4,0.07909604519774012,0.75,0.023809523809523808,0.5077725304998032
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2023,0.6208882770890789,50.57142857142857,127,2.5112994350282487,0.7559055118110236,0.5217391304347826,0.5148378191856453
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2023,0.7571008621529668,50.57142857142857,63,1.2457627118644068,0.873015873015873,0.3021978021978022,0.5895604395604396
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2023,0.514300851741493,50.57142857142857,63,1.2457627118644068,0.8888888888888888,0.3027027027027027,0.5948997384481256
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2023,0.554099862890413,50.57142857142857,115,2.2740112994350286,0.7391304347826086,0.4696132596685083,0.5075339025615269
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2023,0.5948536446504924,50.57142857142857,43,0.8502824858757062,0.8604651162790697,0.23870967741935484,0.5867461430575035
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2024,0.7841834193741174,50.57142857142857,40,0.7909604519774012,0.85,0.1837837837837838,0.5442728442728443
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2024,0.5973901613839219,50.57142857142857,85,1.6807909604519775,0.8588235294117647,0.41714285714285715,0.6263796477495107
