hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,train_target_rate,validation_target_rate,hyperparameters,corridor,threshold,test_rows,evaluation_weeks,target_positives,target_rate,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss,balanced_accuracy,candidate_precision,candidate_recall,candidates,candidates_per_week,signals,signals_per_week,suppressed_by_cooldown,signal_active,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,logistic,2022,0.655883039116572,0.801338321603996,1064,244,52,0.6757518796992481,0.6844262295081968,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.7846587564404102,246,50.57142857142857,142,0.5772357723577236,0.6549295774647889,0.7291134474885583,0.5772357723577236,0.15187767513083472,1.2631120287477842,0.25421245029105444,0.25552442957243326,0.005134457333782705,0.745258559385182,0.5,0.0,0.0,0,0.0,0,0.0,0,False,0,0,,,,,,,,,,,,
H008_pooling_ablation,3,50,per_corridor,logistic,2022,0.641859344894027,0.8035595544284266,1064,245,52,0.6578947368421053,0.7061224489795919,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.8178903403970077,247,50.57142857142857,133,0.5384615384615384,0.672272787231236,0.7194010516082235,0.5384615384615384,0.1809395131466851,1.3360305244152724,0.23843321494029368,0.2766308909749143,0.13808174459476574,0.699949255223303,0.5,0.0,0.0,0,0.0,0,0.0,0,False,0,0,,,,,,,,,,,,
H008_pooling_ablation,3,50,per_corridor,logistic,2022,0.6771212121212121,0.8143869074891891,1064,245,52,0.6842105263157895,0.673469387755102,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS,0.8206567289838606,247,50.57142857142857,137,0.5546558704453441,0.7090245520902456,0.7682027161930581,0.5546558704453441,0.213546845747714,1.3850078167860245,0.2353531537990472,0.26112938772137795,0.09871058231804108,0.7105606807705737,0.5,0.0,0.0,0,0.0,0,0.0,0,False,0,0,,,,,,,,,,,,
H008_pooling_ablation,3,50,per_corridor,logistic,2022,0.6726973684210527,0.827677553870042,1063,244,52,0.6735653809971778,0.6885245901639344,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.7977091757487391,247,50.57142857142857,141,0.5708502024291497,0.6354877559213168,0.6894398928937039,0.5708502024291497,0.11858969046455414,1.207742223721595,0.2802117765406679,0.25882751034450485,-0.08261975772088581,0.8349785543250458,0.5070921985815603,1.0,0.014184397163120567,2,0.03954802259887006,2,0.03954802259887006,0,True,2,0,1.0,0.3423719528896193,1.0,0.0,0.536,0.0,1.0,1.8656716417910446,156.21847669329998,23.83567035045,1562.1847669329998,238.3567035045
H008_pooling_ablation,3,50,per_corridor,logistic,2022,0.7006480558325024,0.8483966257772582,1063,245,52,0.7187206020696143,0.7224489795918367,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.8252838263410619,247,50.57142857142857,126,0.5101214574898786,0.6520398793126065,0.6697133254015902,0.5101214574898786,0.15959186791171165,1.312850725192006,0.2486625291426087,0.2949805327402381,0.15702054358420114,0.7164535554164947,0.5077725304998032,0.75,0.023809523809523808,4,0.07909604519774012,3,0.059322033898305086,1,True,2,1,0.6666666666666666,0.20765495512648788,0.9385096847238393,0.33333333333333337,0.5026666666666666,0.0,1.0,1.3262599469496021,255.86614652326668,43.593797302300004,2558.661465232667,435.9379730230001
H008_pooling_ablation,3,50,per_corridor,logistic,2023,0.6554721179251842,0.7295425128231232,1311,243,52,0.6781083142639207,0.5802469135802469,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.6208882770890789,247,50.57142857142857,184,0.7449392712550608,0.5678053830227744,0.7906870094890871,0.7449392712550608,0.045747738234026336,1.0614113659989375,0.20995478616997942,0.21712832607352858,0.033038249929306374,0.6084912296078172,0.5148378191856453,0.7559055118110236,0.5217391304347826,127,2.5112994350282487,47,0.9293785310734464,80,True,27,20,0.574468085106383,0.43281668771211546,0.7048658399817417,0.42553191489361697,0.734936170212766,0.6170212765957447,0.8297872340425532,0.7816571130797291,-14.44909623186383,72.57313668575745,-144.49096231863828,725.7313668575745
H008_pooling_ablation,3,50,per_corridor,logistic,2023,0.67870670995671,0.7362513020166701,1312,244,52,0.6676829268292683,0.5409836065573771,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_UZS,0.7571008621529668,247,50.57142857142857,182,0.7368421052631579,0.6005917159763313,0.8165139062821084,0.7368421052631579,0.07967180101895055,1.1081260156685757,0.21407147039045182,0.23226636868979755,0.07833634461150019,0.6134673377689884,0.5895604395604396,0.873015873015873,0.3021978021978022,63,1.2457627118644068,36,0.711864406779661,27,True,30,6,0.8333333333333334,0.6810888526532568,0.921296593714359,0.16666666666666663,0.7336111111111111,0.6111111111111112,0.8611111111111112,1.135933358576297,22.454652970552775,21.11250259968334,224.54652970552775,211.1250259968334
H008_pooling_ablation,3,50,per_corridor,logistic,2023,0.6994825708061002,0.7639624143583598,1312,244,52,0.6829268292682927,0.5573770491803278,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.514300851741493,247,50.57142857142857,185,0.7489878542510121,0.5635571054925893,0.8000405512964752,0.7489878542510121,0.051052697045463113,1.0681622495688075,0.3102072558210723,0.22471974905531258,-0.3804183082489905,0.8290485208013113,0.5948997384481256,0.8888888888888888,0.3027027027027027,63,1.2457627118644068,35,0.692090395480226,28,True,30,5,0.8571428571428571,0.7062411969132573,0.9373986119514649,0.1428571428571429,0.7407428571428573,0.6,0.8571428571428571,1.1571395510298539,29.046746374648567,20.92198535784,290.4674637464857,209.2198535784
H008_pooling_ablation,3,50,per_corridor,logistic,2023,0.6261675824175825,0.6847717087860428,1310,244,52,0.6770992366412214,0.5737704918032787,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.554099862890413,247,50.57142857142857,181,0.7327935222672065,0.5398459735476311,0.7666037986594418,0.7327935222672065,0.03381027639223533,1.0461388854634373,0.2516669674894064,0.22109550020835889,-0.13827267968926193,0.6957154210845301,0.5075339025615269,0.7391304347826086,0.4696132596685083,115,2.2740112994350286,39,0.7711864406779662,76,True,23,16,0.5897435897435898,0.43418348473344903,0.7292091056459953,0.41025641025641024,0.7252820512820513,0.6153846153846154,0.8339743589743583,0.8131230997666691,1.1098724268076914,75.34975528604616,11.098724268076914,753.4975528604616
H008_pooling_ablation,3,50,per_corridor,logistic,2023,0.6658151260504201,0.6852615721688109,1311,244,52,0.7200610221205187,0.5122950819672131,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.5948536446504924,247,50.57142857142857,155,0.6275303643724697,0.5758765778401123,0.7161724726163466,0.6275303643724697,0.08864210824387697,1.1412554886208879,0.2915492286274435,0.24701517647404436,-0.1802887287699857,0.7961695333046293,0.5867461430575035,0.8604651162790697,0.23870967741935484,43,0.8502824858757062,21,0.4152542372881356,22,True,17,4,0.8095238095238095,0.599990134607267,0.923325593848227,0.19047619047619047,0.6222857142857142,0.42857142857142855,0.8095238095238095,1.3008876645240284,44.239121258857146,39.297270923928565,442.3912125885715,392.9727092392857
