hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,folds,active_folds,inactive_folds,active_fold_share,test_rows,evaluation_weeks,candidates,candidates_per_week,signals,signals_per_week,suppressed_by_cooldown,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_pushes,false_push_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss,balanced_accuracy,candidate_precision,candidate_recall,mean_advantage_bps,mean_regret_bps,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,random_forest,RUB_UZS,5,5,0,1.0,1147,235.0,157,0.6680851063829787,85,0.3617021276595745,72,0.8823529411764706,0.7968121063083017,0.9348271257631603,10,0.11764705882352944,0.6937882352941177,1.2717900020348638,1.305909239307868,1.1521685457986997,3,0.6523298127235015,0.77996035035841,0.6373147340889277,0.14264561626948236,1.2319132355947602,0.23795519023206566,0.24425334460758105,0.018129779449414588,0.6688103367566499,0.5607312046629113,0.89171974522293,0.19151846785225718,12.340285536623531,18.03333941854353,123.4028553662353,180.33339418543528
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,5,5,0,1.0,1149,235.0,217,0.9234042553191489,125,0.5319148936170213,92,0.792,0.7126703312982824,0.8539168579325251,26,0.20799999999999996,0.640096,1.2373144028395742,1.3008876645240284,1.0402579839800272,3,0.6109907196516114,0.7204783162153028,0.6153176675369887,0.1051606486783141,1.1779388815214653,0.25737971634323265,0.24773726072708194,-0.050356272413590523,0.7195027738478844,0.560659462035239,0.7880184331797235,0.24186704384724186,20.106999690852803,35.977277704565594,201.069996908528,359.77277704565597
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,5,4,1,0.8,1149,235.0,242,1.0297872340425531,144,0.6127659574468085,98,0.8611111111111112,0.7951966640512391,0.9082589262562252,20,0.13888888888888884,0.6962916666666668,1.2367103504677557,1.2325685205424426,1.1571395510298539,1,0.6452351991329247,0.7853524455764086,0.6675369886858138,0.11781545689059482,1.1882383086029213,0.2536202338586744,0.2295393544965218,-0.11854684836049112,0.7139339777298045,0.5768514427622886,0.8471074380165289,0.26727509778357234,17.791693850861805,22.613559949888195,177.91693850861805,226.13559949888196
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,5,4,1,0.8,1147,235.0,218,0.9276595744680851,129,0.548936170212766,89,0.8217054263565892,0.7466503622751962,0.8781539159027241,23,0.17829457364341084,0.6676744186046513,1.2306977824219203,1.2422871181327568,1.135933358576297,1,0.6289475832324705,0.7495510104849376,0.6373147340889277,0.11223627639600992,1.18485946314624,0.23329732732909536,0.24425334460758105,0.036678483312568476,0.6644213983407489,0.5689908389816538,0.8302752293577982,0.2476060191518468,10.93453319663876,22.65172172417675,109.34533196638759,226.5172172417675
H008_pooling_ablation,3,50,per_corridor,random_forest,RUB_KGS,5,5,0,1.0,1149,235.0,183,0.7787234042553192,105,0.44680851063829785,78,0.8285714285714286,0.7452257441289754,0.8887230401593851,18,0.17142857142857137,0.6951428571428571,1.1919441019317716,1.1705273533760474,1.0690156503891217,1,0.6350049921213958,0.7851368486158165,0.6675369886858138,0.11759985993000277,1.1839809878942702,0.24340051308779864,0.2295393544965218,-0.06924369621173943,0.6807751675798065,0.5537461718797518,0.8360655737704918,0.19947848761408082,13.222366210801905,27.259876925040953,132.22366210801903,272.5987692504095
H008_pooling_ablation,3,50,per_corridor,random_forest,RUB_TJS,5,5,0,1.0,1147,235.0,264,1.123404255319149,124,0.5276595744680851,140,0.8225806451612904,0.7459583844379699,0.879816011376851,22,0.17741935483870963,0.7144193548387097,1.1513974804713958,1.2216641780914892,1.0491511413492718,2,0.623797152097179,0.7812437678504102,0.6809067131647777,0.1003370546856325,1.1503158303639482,0.24768896511426108,0.22265825117215066,-0.11881384405920735,0.6898960104709538,0.5746619666725717,0.8560606060606061,0.2893725992317542,11.519712092884678,31.275232041412096,115.19712092884677,312.75232041412096
H008_pooling_ablation,3,50,per_corridor,random_forest,RUB_AMD,5,5,0,1.0,1149,235.0,215,0.9148936170212766,104,0.4425531914893617,111,0.7884615384615384,0.7004227763289638,0.8559487908584666,22,0.21153846153846156,0.7082115384615383,1.113313601433731,1.1270179713676518,0.6596306068601583,1,0.6040373365251076,0.7530299188331289,0.6684073107049608,0.08462260812816813,1.1323063010591812,0.2553941135489706,0.22982238709890337,-0.12502599308193896,0.7066018982019802,0.5379728513233912,0.8046511627906977,0.22526041666666666,16.172906052172117,42.2040485462125,161.72906052172115,422.04048546212505
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,5,5,0,1.0,1149,235.0,247,1.0510638297872341,126,0.5361702127659574,121,0.7619047619047619,0.6804858294512793,0.827825836455487,30,0.23809523809523814,0.6914285714285715,1.1019283746556472,1.2374487342667233,0.8131230997666691,1,0.6229936878386412,0.7625680380884812,0.6684073107049608,0.09416072738352047,1.1511158149040666,0.23727003058438348,0.22982238709890337,-0.03903612034476616,0.6828543959867951,0.5439827572110376,0.7935222672064778,0.2552083333333333,12.901047406194444,38.72550308887937,129.01047406194445,387.25503088879367
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,5,4,1,0.8,1147,235.0,262,1.1148936170212767,136,0.5787234042553191,126,0.7647058823529411,0.6867533500243427,0.8281149009110012,32,0.23529411764705888,0.7107941176470589,1.0758472296933834,1.2310329498625894,0.7816571130797291,0,0.6401944040597721,0.7858884495203278,0.6809067131647777,0.10498173635555007,1.16066902035062,0.2186158517522736,0.22265825117215066,0.018138460615372328,0.6362431700342549,0.5454781406528366,0.8015267175572519,0.26888604353393086,6.9482198711125,38.02018477539999,69.48219871112502,380.201847754
H008_pooling_ablation,3,50,per_corridor,random_forest,RUB_KZT,5,4,1,0.8,1149,235.0,348,1.4808510638297872,128,0.5446808510638298,220,0.671875,0.5865623991215974,0.747171414788428,42,0.328125,0.639265625,1.0510106812015743,1.1715278036500276,0.7941091539127924,0,0.5641669389215666,0.6816994032580642,0.6153176675369887,0.0663817357210755,1.1092559942224527,0.256738913298365,0.24773726072708194,-0.04666491136279333,0.7085022948231828,0.5332398813091784,0.6925287356321839,0.3408769448373409,-2.6448374492578113,50.74555630438828,-26.44837449257811,507.45556304388276
