hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,train_rows,validation_rows,test_rows,feature_count,hyperparameters,validation_auc,validation_pr_auc,train_target_rate,validation_target_rate,target_positives,target_rate,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2022,1064,244,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.655883039116572,0.801338321603996,0.6757518796992481,0.6844262295081968,142,0.5772357723577236,0.6549295774647889,0.7291134474885583,0.5772357723577236,0.15187767513083472,1.2631120287477842,0.25421245029105444,0.25552442957243326,0.005134457333782705,0.745258559385182
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2022,1064,245,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.641859344894027,0.8035595544284266,0.6578947368421053,0.7061224489795919,133,0.5384615384615384,0.672272787231236,0.7194010516082235,0.5384615384615384,0.1809395131466851,1.3360305244152724,0.23843321494029368,0.2766308909749143,0.13808174459476574,0.699949255223303
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2022,1064,245,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.6771212121212121,0.8143869074891891,0.6842105263157895,0.673469387755102,137,0.5546558704453441,0.7090245520902456,0.7682027161930581,0.5546558704453441,0.213546845747714,1.3850078167860245,0.2353531537990472,0.26112938772137795,0.09871058231804108,0.7105606807705737
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2022,1063,244,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.6726973684210527,0.827677553870042,0.6735653809971778,0.6885245901639344,141,0.5708502024291497,0.6354877559213168,0.6894398928937039,0.5708502024291497,0.11858969046455414,1.207742223721595,0.2802117765406679,0.25882751034450485,-0.08261975772088581,0.8349785543250458
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2022,1063,245,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.7006480558325024,0.8483966257772582,0.7187206020696143,0.7224489795918367,126,0.5101214574898786,0.6520398793126065,0.6697133254015902,0.5101214574898786,0.15959186791171165,1.312850725192006,0.2486625291426087,0.2949805327402381,0.15702054358420114,0.7164535554164947
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2023,1311,243,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.6554721179251842,0.7295425128231232,0.6781083142639207,0.5802469135802469,184,0.7449392712550608,0.5678053830227744,0.7906870094890871,0.7449392712550608,0.045747738234026336,1.0614113659989375,0.20995478616997942,0.21712832607352858,0.033038249929306374,0.6084912296078172
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2023,1312,244,247,52,"{""C"": 0.1, ""class_weight"": ""none""}",0.67870670995671,0.7362513020166701,0.6676829268292683,0.5409836065573771,182,0.7368421052631579,0.6005917159763313,0.8165139062821084,0.7368421052631579,0.07967180101895055,1.1081260156685757,0.21407147039045182,0.23226636868979755,0.07833634461150019,0.6134673377689884
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2023,1312,244,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",0.6994825708061002,0.7639624143583598,0.6829268292682927,0.5573770491803278,185,0.7489878542510121,0.5635571054925893,0.8000405512964752,0.7489878542510121,0.051052697045463113,1.0681622495688075,0.3102072558210723,0.22471974905531258,-0.3804183082489905,0.8290485208013113
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2023,1310,244,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",0.6261675824175825,0.6847717087860428,0.6770992366412214,0.5737704918032787,181,0.7327935222672065,0.5398459735476311,0.7666037986594418,0.7327935222672065,0.03381027639223533,1.0461388854634373,0.2516669674894064,0.22109550020835889,-0.13827267968926193,0.6957154210845301
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2023,1311,244,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",0.6658151260504201,0.6852615721688109,0.7200610221205187,0.5122950819672131,155,0.6275303643724697,0.5758765778401123,0.7161724726163466,0.6275303643724697,0.08864210824387697,1.1412554886208879,0.2915492286274435,0.24701517647404436,-0.1802887287699857,0.7961695333046293
