hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,threshold,evaluation_weeks,candidates,signals,signals_per_week,suppressed_by_cooldown,signal_active,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2022,0.7846587564404102,50.57142857142857,0,0,0.0,0,False,0,0,,,,,,,,,,,,
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2022,0.8178903403970077,50.57142857142857,0,0,0.0,0,False,0,0,,,,,,,,,,,,
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2022,0.8206567289838606,50.57142857142857,0,0,0.0,0,False,0,0,,,,,,,,,,,,
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2022,0.7977091757487391,50.57142857142857,2,2,0.03954802259887006,0,True,2,0,1.0,0.3423719528896193,1.0,0.0,0.536,0.0,1.0,1.8656716417910446,156.21847669329998,23.83567035045,1562.1847669329998,238.3567035045
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2022,0.8252838263410619,50.57142857142857,4,3,0.059322033898305086,1,True,2,1,0.6666666666666666,0.20765495512648788,0.9385096847238393,0.33333333333333337,0.5026666666666666,0.0,1.0,1.3262599469496021,255.86614652326668,43.593797302300004,2558.661465232667,435.9379730230001
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2023,0.6208882770890789,50.57142857142857,127,47,0.9293785310734464,80,True,27,20,0.574468085106383,0.43281668771211546,0.7048658399817417,0.42553191489361697,0.734936170212766,0.6170212765957447,0.8297872340425532,0.7816571130797291,-14.44909623186383,72.57313668575745,-144.49096231863828,725.7313668575745
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2023,0.7571008621529668,50.57142857142857,63,36,0.711864406779661,27,True,30,6,0.8333333333333334,0.6810888526532568,0.921296593714359,0.16666666666666663,0.7336111111111111,0.6111111111111112,0.8611111111111112,1.135933358576297,22.454652970552775,21.11250259968334,224.54652970552775,211.1250259968334
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2023,0.514300851741493,50.57142857142857,63,35,0.692090395480226,28,True,30,5,0.8571428571428571,0.7062411969132573,0.9373986119514649,0.1428571428571429,0.7407428571428573,0.6,0.8571428571428571,1.1571395510298539,29.046746374648567,20.92198535784,290.4674637464857,209.2198535784
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2023,0.554099862890413,50.57142857142857,115,39,0.7711864406779662,76,True,23,16,0.5897435897435898,0.43418348473344903,0.7292091056459953,0.41025641025641024,0.7252820512820513,0.6153846153846154,0.8339743589743583,0.8131230997666691,1.1098724268076914,75.34975528604616,11.098724268076914,753.4975528604616
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2023,0.5948536446504924,50.57142857142857,43,21,0.4152542372881356,22,True,17,4,0.8095238095238095,0.599990134607267,0.923325593848227,0.19047619047619047,0.6222857142857142,0.42857142857142855,0.8095238095238095,1.3008876645240284,44.239121258857146,39.297270923928565,442.3912125885715,392.9727092392857
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2024,0.7841834193741174,50.57142857142857,40,27,0.5338983050847458,13,True,25,2,0.9259259259259259,0.7663002270926939,0.9794457783026164,0.07407407407407407,0.747851851851852,0.5925925925925926,0.8888888888888888,1.2381141045958792,21.750152166414818,7.110439664377777,217.50152166414819,71.10439664377778
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2024,0.5973901613839219,50.57142857142857,85,46,0.9096045197740114,39,True,39,7,0.8478260869565217,0.7177558259368491,0.9242781376598251,0.15217391304347827,0.6993478260869567,0.5869565217391305,0.8043478260869565,1.2123096052222564,6.543753800250001,18.550140642567392,65.4375380025,185.5014064256739
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2024,0.5982673213408622,50.57142857142857,58,37,0.731638418079096,21,True,36,1,0.972972972972973,0.8617562156243666,0.9952131489450925,0.027027027027026973,0.737027027027027,0.6216216216216216,0.8520270270270265,1.3201320132013201,18.084436725364863,7.907243217843243,180.84436725364864,79.07243217843244
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2024,0.7534815508215778,50.57142857142857,58,38,0.7514124293785311,20,True,35,3,0.9210526315789473,0.792003210797347,0.9727858986057349,0.07894736842105265,0.7443157894736842,0.631578947368421,0.8559210526315784,1.2374487342667233,8.572195740123684,8.550345130192106,85.72195740123684,85.50345130192106
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2024,0.6504448198998836,50.57142857142857,37,26,0.5141242937853108,11,True,23,3,0.8846153846153846,0.7102370691310167,0.9599682817885051,0.11538461538461542,0.665923076923077,0.5,0.8076923076923077,1.3284047591544415,10.152361910984617,12.729970707015385,101.52361910984617,127.29970707015386
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2025,0.7403630558185933,50.714285714285715,77,47,0.9267605633802817,30,True,39,8,0.8297872340425532,0.6985994892711488,0.9111374190873607,0.17021276595744683,0.6779574468085107,0.574468085106383,0.7872340425531915,1.2239517951292995,21.17183275808723,28.54674896407447,211.7183275808723,285.4674896407447
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2025,0.6593889424240746,50.714285714285715,58,36,0.7098591549295774,22,True,28,8,0.7777777777777778,0.6191498017214091,0.882838070251604,0.2222222222222222,0.5687777777777778,0.4444444444444444,0.7222222222222222,1.3674545809728462,9.903373210700003,29.68820187245278,99.03373210700003,296.8820187245278
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KGS,2025,0.5897054715536693,50.714285714285715,73,44,0.8676056338028169,29,True,35,9,0.7954545454545454,0.6549913631816676,0.888468721765324,0.20454545454545459,0.6462727272727272,0.5454545454545454,0.7727272727272727,1.230834153889436,23.641606363311368,33.197938611068174,236.41606363311368,331.9793861106818
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_AMD,2025,0.7601982507942086,50.714285714285715,67,42,0.828169014084507,25,True,33,9,0.7857142857142857,0.6405986210195627,0.8829433146894876,0.2142857142857143,0.6185714285714285,0.5,0.7380952380952381,1.2702078521939955,22.5141064387,33.29232300207857,225.14106438700003,332.92323002078564
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_KZT,2025,0.7574175294359045,50.714285714285715,80,47,0.9267605633802817,33,True,37,10,0.7872340425531915,0.6509569794902074,0.8801041987575269,0.21276595744680848,0.6148085106382978,0.49946808510638296,0.723404255319149,1.2804540420819492,20.694328406334044,35.0982966145,206.94328406334046,350.982966145
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_TJS,2026,0.7012631077203899,32.57142857142857,18,15,0.46052631578947373,3,True,13,2,0.8666666666666667,0.6211750079348376,0.9626395301086408,0.1333333333333333,0.6713333333333332,0.4666666666666667,0.8666666666666667,1.290963257199603,2.7823451497066696,15.075242198273331,27.823451497066696,150.75242198273332
H008_pooling_ablation,3,50,per_corridor,logistic,RUB_UZS,2026,0.701335413241029,32.57142857142857,12,11,0.33771929824561403,1,True,9,2,0.8181818181818182,0.5230138624217553,0.9486333993289994,0.18181818181818177,0.643090909090909,0.36363636363636365,0.9090909090909091,1.2722646310432573,-5.031530451836363,21.812751987618185,-50.31530451836363,218.12751987618185
