outer_fold,corridor,requested_signals_per_week,frontier_status_left,signals_per_week_left,signal_hit_rate_left,matched_random_hit_rate_left,lift_left,mean_realized_regret_bps_left,frontier_status_right,signals_per_week_right,signal_hit_rate_right,matched_random_hit_rate_right,lift_right,mean_realized_regret_bps_right,delta_hit_rate,delta_mean_regret_bps,frequency_gap_per_week
outer_2022,RUB_AMD,0.1,active,0.0,,,,,active,0.0958904109589041,0.6,0.3734,1.6068559185859668,149.76953105324,,,0.0958904109589041
outer_2022,RUB_AMD,0.2,active,0.0,,,,,active,0.1150684931506849,0.1666666666666666,0.3624166666666666,0.4598758335249483,204.41288618735,,,0.1150684931506849
outer_2022,RUB_AMD,0.3,active,0.0,,,,,active,0.1534246575342465,0.375,0.42275,0.8870490833826138,153.3096646405125,,,0.1534246575342465
outer_2022,RUB_AMD,0.4,active,0.0,,,,,active,0.1917808219178082,0.5,0.4658,1.07342206955775,122.64773171241,,,0.1917808219178082
outer_2022,RUB_AMD,0.5,active,0.0958904109589041,1.0,0.6055,1.6515276630883566,0.66114021258,active,0.2876712328767123,0.4666666666666667,0.4979333333333333,0.9372071227741332,120.81114501274668,-0.5333333333333333,120.15000480016668,0.1917808219178082
outer_2022,RUB_AMD,0.6,active,0.1726027397260273,0.8888888888888888,0.588388888888889,1.510716646209045,20.9910346314,active,0.3068493150684931,0.5,0.5133125,0.9740655059052722,113.26044844945,-0.38888888888888884,92.26941381805,0.1342465753424658
outer_2022,RUB_AMD,0.7,active,0.2876712328767123,0.8666666666666667,0.5864333333333333,1.4778605127039166,28.5857349196,active,0.3643835616438356,0.5263157894736842,0.5178684210526315,1.0163118044616088,111.67857393432104,-0.3403508771929825,83.09283901472104,0.0767123287671233
outer_2022,RUB_AMD,0.8,active,0.3835616438356164,0.6,0.5451500000000001,1.1006145097679534,63.67378123849001,active,0.4602739726027397,0.625,0.5208333333333333,1.2000000000000002,89.80381681042083,0.025000000000000022,26.13003557193082,0.0767123287671233
outer_2022,RUB_AMD,0.9,active,0.6904109589041095,0.5277777777777778,0.5283194444444443,0.9989747364546916,102.8328250661222,active,0.6520547945205479,0.5294117647058824,0.5498529411764707,0.9628242845680662,98.79515988219704,0.0016339869281045694,-4.0376651839251565,-0.0383561643835616
outer_2022,RUB_AMD,1.0,active,0.8438356164383561,0.5,0.5552727272727273,0.9004584151931893,177.92223250167046,active,0.7671232876712328,0.45,0.5446875,0.8261617900172117,137.22916687826498,-0.04999999999999999,-40.69306562340549,-0.0767123287671233
outer_2022,RUB_AMD,1.1,active,0.8438356164383561,0.5,0.553215909090909,0.9038062568042232,177.92223250167046,active,0.7671232876712328,0.45,0.543375,0.8281573498964803,137.22916687826498,-0.04999999999999999,-40.69306562340549,-0.0767123287671233
outer_2022,RUB_AMD,1.2,active,0.8438356164383561,0.5,0.5545795454545455,0.9015839190213716,177.92223250167046,active,0.7671232876712328,0.45,0.5452125000000001,0.8253662562762224,137.22916687826498,-0.04999999999999999,-40.69306562340549,-0.0767123287671233
outer_2022,RUB_AMD,1.3,active,0.8438356164383561,0.5,0.5514886363636362,0.90663699491047,177.92223250167046,active,0.7671232876712328,0.45,0.5418375,0.8305073015433595,137.22916687826498,-0.04999999999999999,-40.69306562340549,-0.0767123287671233
outer_2022,RUB_AMD,1.4,active,0.8438356164383561,0.5,0.5559090909090909,0.8994276369582993,177.92223250167046,active,0.7671232876712328,0.45,0.545775,0.8245155970867115,137.22916687826498,-0.04999999999999999,-40.69306562340549,-0.0767123287671233
outer_2022,RUB_KGS,0.1,active,0.0,,,,,active,0.0383561643835616,0.5,0.44325,1.1280315848843767,185.77537525365,,,0.0383561643835616
outer_2022,RUB_KGS,0.2,active,0.0,,,,,active,0.0575342465753424,0.3333333333333333,0.4251666666666666,0.7840062720501764,239.88096997340003,,,0.0575342465753424
outer_2022,RUB_KGS,0.3,active,0.0,,,,,active,0.0958904109589041,0.4,0.3949,1.0129146619397316,157.74696010142003,,,0.0958904109589041
outer_2022,RUB_KGS,0.4,active,0.0,,,,,active,0.1917808219178082,0.6,0.45065,1.3314101852879174,158.75127176299,,,0.1917808219178082
outer_2022,RUB_KGS,0.5,active,0.0767123287671232,1.0,0.634875,1.5751132112620596,1.519822508575,active,0.2301369863013698,0.5,0.4659166666666666,1.0731532820604543,149.90866460122498,-0.5,148.38884209264998,0.1534246575342466
outer_2022,RUB_KGS,0.6,active,0.1150684931506849,1.0,0.6038333333333332,1.6560861164780571,1.013215005716667,active,0.2876712328767123,0.4666666666666667,0.5145666666666666,0.9069119647599924,150.01354598738666,-0.5333333333333333,149.00033098167,0.1726027397260274
outer_2022,RUB_KGS,0.7,active,0.1917808219178082,0.9,0.54935,1.6382998088650222,15.845586097079998,active,0.3643835616438356,0.5789473684210527,0.5381315789473684,1.0758472296933836,118.92233101661051,-0.32105263157894737,103.07674491953051,0.1726027397260274
outer_2022,RUB_KGS,0.8,active,0.3643835616438356,0.7368421052631579,0.5734210526315789,1.2849931161083066,49.90090584427895,active,0.5178082191780822,0.6296296296296297,0.5412407407407408,1.16330790022924,97.64465945099629,-0.1072124756335282,47.743753606717334,0.15342465753424656
outer_2022,RUB_KGS,0.9,active,0.6712328767123287,0.5428571428571428,0.528557142857143,1.0270547852644665,87.78231097776286,active,0.6712328767123287,0.5428571428571428,0.5446857142857143,0.9966428871170792,102.18333290040856,0.0,14.401021922645697,0.0
outer_2022,RUB_KGS,1.0,active,0.8246575342465753,0.4883720930232558,0.5467209302325582,0.8932749159896208,132.5809763777372,active,0.747945205479452,0.5128205128205128,0.5428076923076923,0.9447554264389804,101.8508649124846,0.02444841979725698,-30.73011146525259,-0.0767123287671233
