outer_fold,corridor,frontier_point_id,common_signal_count,comparison_status,left_hit_rate,right_hit_rate,delta_hit_rate,left_mean_regret_bps,right_mean_regret_bps,delta_mean_regret_bps
outer_2022,RUB_AMD,budget_00,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_01,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_02,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_03,0,inactive,,,,,,
outer_2022,RUB_AMD,budget_04,5,active,1.0,0.2,-0.8,0.66114021258,207.51160108829998,206.85046087572
outer_2022,RUB_AMD,budget_05,9,active,0.8888888888888888,0.4444444444444444,-0.4444444444444444,20.9910346314,136.27525745823334,115.28422282683334
outer_2022,RUB_AMD,budget_06,15,active,0.8666666666666667,0.4666666666666667,-0.4,28.5857349196,120.81114501274666,92.22541009314666
outer_2022,RUB_AMD,budget_07,20,active,0.6,0.55,-0.04999999999999993,63.673781238490015,106.09464523760502,42.42086399911501
outer_2022,RUB_AMD,budget_08,34,active,0.5294117647058824,0.5294117647058824,0.0,104.24555699816766,98.79515988219704,-5.450397115970617
outer_2022,RUB_AMD,budget_09,40,active,0.475,0.45,-0.024999999999999967,176.74666645945499,137.229166878265,-39.51749958118998
outer_2022,RUB_AMD,budget_10,40,active,0.475,0.45,-0.024999999999999967,176.74666645945499,137.229166878265,-39.51749958118998
outer_2022,RUB_AMD,budget_11,40,active,0.475,0.45,-0.024999999999999967,176.74666645945499,137.229166878265,-39.51749958118998
outer_2022,RUB_AMD,budget_12,40,active,0.475,0.45,-0.024999999999999967,176.74666645945499,137.229166878265,-39.51749958118998
outer_2022,RUB_AMD,budget_13,40,active,0.475,0.45,-0.024999999999999967,176.74666645945499,137.229166878265,-39.51749958118998
outer_2022,RUB_KGS,budget_00,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_01,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_02,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_03,0,inactive,,,,,,
outer_2022,RUB_KGS,budget_04,4,active,1.0,0.5,-0.5,1.519822508575,179.91072748005,178.390904971475
outer_2022,RUB_KGS,budget_05,6,active,1.0,0.5,-0.5,1.0132150057166667,215.76973044163333,214.75651543591667
outer_2022,RUB_KGS,budget_06,10,active,0.9,0.5,-0.4,15.845586097079998,151.20889302689,135.36330692981
outer_2022,RUB_KGS,budget_07,19,active,0.7368421052631579,0.47368421052631576,-0.2631578947368421,49.90090584427895,138.66619873184735,88.76529288756839
outer_2022,RUB_KGS,budget_08,35,active,0.5428571428571428,0.5428571428571428,0.0,87.78231097776286,102.18333290040857,14.401021922645711
outer_2022,RUB_KGS,budget_09,39,active,0.48717948717948717,0.5128205128205128,0.025641025641025605,138.46709245131794,101.85086491248461,-36.61622753883333
outer_2022,RUB_KGS,budget_10,41,active,0.4146341463414634,0.5121951219512195,0.09756097560975613,196.2221289624,121.91744714367317,-74.30468181872683
outer_2022,RUB_KGS,budget_11,41,active,0.4146341463414634,0.5121951219512195,0.09756097560975613,196.2221289624,121.91744714367317,-74.30468181872683
outer_2022,RUB_KGS,budget_12,41,active,0.4146341463414634,0.5121951219512195,0.09756097560975613,196.2221289624,121.91744714367317,-74.30468181872683
outer_2022,RUB_KGS,budget_13,41,active,0.4146341463414634,0.5121951219512195,0.09756097560975613,196.2221289624,121.91744714367317,-74.30468181872683
outer_2022,RUB_KZT,budget_00,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_01,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_02,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_03,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_04,0,inactive,,,,,,
outer_2022,RUB_KZT,budget_05,1,active,1.0,0.0,-1.0,0.0,112.5625094711,112.5625094711
