hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.6785642536663764,0.789203086277651,1067,246,52,"{""C"": 1.0, ""class_weight"": ""balanced""}",RUB_TJS
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7033806626098716,0.8108383263537078,1067,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.6691097364174287,0.7823825833537044,1067,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7061509721165156,0.8157678019695458,1066,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7217650962176511,0.815418138250241,1066,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6523404848147117,0.7840122261207401,1314,245,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.640499194847021,0.7570929156751818,1315,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6610767872903796,0.7515606759295471,1315,246,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6210993513144418,0.7363781111565038,1313,246,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6046046046046045,0.6921523471275794,1314,246,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.7092002830856333,0.8380608751292582,1560,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.7201867816091954,0.850989589606329,1562,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.6960729312762973,0.8285288712461518,1562,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.6924568965517239,0.831559788207291,1560,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.680415303655241,0.8242626431919104,1561,247,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6998579545454544,0.8356530383287449,1808,248,52,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6938920454545454,0.8288308042173782,1810,248,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6850675428988682,0.8382190996836385,1810,248,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6772179155900085,0.8189835720264316,1808,248,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.7065986394557823,0.810289346385217,1809,248,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.733134989275583,0.8364154952469496,2056,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.6731805929919138,0.7854647222987003,2058,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.7182779958746424,0.80498973999679,2058,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.7137766422376117,0.8101789047063153,2056,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.7023972602739726,0.8160830085945044,2057,246,52,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_KZT
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2022,0.6971159286742001,0.8002787164055241,5333,1233,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",ALL
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2023,0.635203970923294,0.7599185135155451,6571,1229,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",ALL
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2024,0.7127065851230265,0.8414789927002291,7805,1235,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",ALL
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2025,0.6904390335088411,0.8254621897975217,9045,1240,57,"{""C"": 1.0, ""class_weight"": ""balanced""}",ALL
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2026,0.699665459580648,0.8049967730716513,10285,1230,57,"{""C"": 0.01, ""class_weight"": ""none""}",ALL
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.6229885057471264,0.5592397397680214,1064,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.6342189013421891,0.5297875197194002,1064,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.5722001914399015,0.48279609713065275,1064,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.5901336073997945,0.5068313322558062,1063,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,3,0,per_corridor,logistic,2022,0.6333333333333334,0.5082000371129917,1063,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.5958304853041695,0.5546758398286931,1311,243,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.5964512565589617,0.49093488694491455,1312,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.6044642857142858,0.55583583485026,1312,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.5210164835164836,0.4561785326583734,1310,244,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,3,0,per_corridor,logistic,2023,0.533451077357824,0.43270491833617286,1311,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.6266515414386762,0.6572984292772628,1557,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.5755333333333333,0.6152527781728621,1559,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.6048979047110636,0.641724159404305,1559,245,52,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_KGS
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.5502,0.5927202306547185,1557,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H007_add_usd_eur,3,0,per_corridor,logistic,2024,0.6064369658119658,0.5923244990795173,1558,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6104979634739194,0.5966348526149221,1805,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.5976572782311134,0.590321116302069,1807,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6087242149520431,0.6132059614652704,1807,247,52,"{""C"": 1.0, ""class_weight"": ""none""}",RUB_KGS
H007_add_usd_eur,3,0,per_corridor,logistic,2025,0.6303834033613446,0.6227330915630309,1805,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
