hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor,threshold,test_rows,target_rate,roc_auc,pr_auc,brier,log_loss,balanced_accuracy,candidate_precision,candidate_recall,signals,signals_per_week,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.6785642536663764,0.789203086277651,1067,246,52,"{""C"": 1.0, ""class_weight"": ""balanced""}",RUB_TJS,0.7934553817826353,246,0.6056910569105691,0.655711616965336,0.7885471323550528,0.293881863209982,0.8790130065069035,0.5469798657718121,1.0,0.09395973154362416,14,0.2768361581920904,1.0,0.7846829880728186,1.0,0.0,0.4528571428571428,0.2857142857142857,0.6428571428571429,2.20820189274448,13.565622009414286,0.0,135.65622009414287,0.0
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7033806626098716,0.8108383263537078,1067,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.6841474849764827,247,0.562753036437247,0.661404209965361,0.7691368077281642,0.23853284567863076,0.6794297488774387,0.5827338129496403,1.0,0.16546762589928057,23,0.4548022598870057,1.0,0.8568788745827373,1.0000000000000002,0.0,0.37817391304347825,0.2608695652173913,0.5445652173913034,2.6442860427684525,23.112509470330437,0.0,231.12509470330434,0.0
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.6691097364174287,0.7823825833537044,1067,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.6877172508851025,247,0.582995951417004,0.6650485436893204,0.7545099605451513,0.24672502455245557,0.7065373587163101,0.5652980043149947,0.8846153846153846,0.1597222222222222,20,0.3954802259887006,0.9,0.6989617935882066,0.9721341060158467,0.09999999999999998,0.4164,0.25,0.6,2.161383285302594,12.522623095529998,18.564929489855,125.22623095529997,185.64929489855
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7061509721165156,0.8157678019695458,1066,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.6611348744811579,247,0.5910931174089069,0.5731723857317238,0.7286072034843287,0.27348693294133164,0.7638687335478827,0.5722907907229079,0.9230769230769231,0.1643835616438356,22,0.43502824858757067,0.9090909090909091,0.7218461934161421,0.9747051037171623,0.09090909090909094,0.3886363636363636,0.22727272727272727,0.5693181818181808,2.3391812865497075,35.49583797037729,14.71942917548182,354.95837970377283,147.1942917548182
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7217650962176511,0.815418138250241,1066,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.6329386483692745,247,0.5506072874493927,0.5865792262851086,0.6763867209683161,0.26233517787749744,0.7400140790109354,0.5843600953895072,0.7142857142857143,0.33088235294117646,40,0.7909604519774012,0.775,0.6249660359590695,0.8768404674532148,0.22499999999999998,0.45694999999999997,0.35,0.575,1.6960280118174857,32.6055893415725,24.486563746764997,326.05589341572494,244.86563746764995
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6523404848147117,0.7840122261207401,1314,245,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.6533725541029891,247,0.6356275303643725,0.6975937721160651,0.8318048455401902,0.22629420227295435,0.6357549971537699,0.6568648266100495,0.9807692307692307,0.3248407643312102,50,0.9887005649717514,0.98,0.8950431352816304,0.9964608319110234,0.020000000000000018,0.5804,0.46,0.7,1.6884906960716746,0.07118598034200048,0.049122280366,0.7118598034200048,0.49122280365999993
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.640499194847021,0.7570929156751818,1315,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.6592864269349187,247,0.6477732793522267,0.6826867816091954,0.8292171163159725,0.22733512952956808,0.6431204966823478,0.65,1.0,0.3,48,0.9491525423728814,1.0,0.9258973488472576,0.9999999999999998,0.0,0.5801666666666666,0.4791666666666667,0.6875,1.7236426314277509,-0.9350209859229164,0.0,-9.350209859229164,0.0
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6610767872903796,0.7515606759295471,1315,246,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KGS,0.7426273316747459,247,0.6275303643724697,0.6515427769985974,0.8066251010465735,0.2528388526104911,0.7025577156736122,0.6193548387096774,1.0,0.23870967741935484,37,0.731638418079096,1.0,0.9059390425448562,1.0000000000000002,0.0,0.6188648648648648,0.4864864864864865,0.7567567567567568,1.6158616473054417,0.3810182381054051,0.0,3.810182381054051,0.0
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6210993513144418,0.7363781111565038,1313,246,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.7646986233887565,247,0.6477732793522267,0.6375718390804596,0.7937426660741482,0.2757086479367087,0.7644506824227989,0.5952586206896552,0.9230769230769231,0.225,36,0.711864406779661,0.9444444444444444,0.8185502589238879,0.9846303362329331,0.05555555555555558,0.6590555555555556,0.5277777777777778,0.7777777777777778,1.4330270589227008,4.888318109922222,3.9040083002388895,48.88318109922222,39.0400830023889
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6046046046046045,0.6921523471275794,1314,246,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT,0.9245985098967449,247,0.6396761133603239,0.636538188024463,0.7997362674704698,0.25396394141128303,0.7132277268649408,0.5031645569620253,1.0,0.006329113924050633,1,0.01977401129943503,1.0,0.20654329147389294,1.0,0.0,0.054,0.0,1.0,18.51851851851852,12.739143811,0.0,127.39143810999998,0.0
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.7092002830856333,0.8380608751292582,1560,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.6707768021781141,248,0.6451612903225806,0.6825994318181818,0.8245982957522355,0.2158162474088146,0.6063665180037596,0.6536931818181818,0.9807692307692307,0.31875,48,0.9491525423728814,0.9791666666666666,0.8910053086246883,0.9963129840206003,0.02083333333333337,0.56525,0.4473958333333333,0.6776041666666662,1.7322718561108652,0.9096989057312497,0.3991529637354167,9.096989057312497,3.991529637354167
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.7201867816091954,0.850989589606329,1562,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_UZS,0.6539790023674164,248,0.6451612903225806,0.6683238636363636,0.8154708986319744,0.21971230746831819,0.6153351517435369,0.6460227272727272,0.9310344827586207,0.3375,48,0.9491525423728814,0.9166666666666666,0.804464348389337,0.9671167756500445,0.08333333333333337,0.57775,0.4583333333333333,0.6776041666666662,1.5866147410933218,2.0045779329541666,3.264792497791667,20.045779329541666,32.647924977916674
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.6960729312762973,0.8285288712461518,1562,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS,0.6918938129599752,248,0.6653225806451613,0.6762322015334062,0.8299671079703348,0.22331789072506278,0.6263706172066754,0.6454910551296094,0.9803921568627451,0.30303030303030304,47,0.9293785310734464,0.9787234042553191,0.8888676347566886,0.9962343289895351,0.021276595744680882,0.5988085106382978,0.46808510638297873,0.7021276595744681,1.6344513928368394,0.4815540152787236,0.5421259592702128,4.815540152787236,5.421259592702127
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.6924568965517239,0.831559788207291,1560,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.7129806706664065,248,0.6532258064516129,0.6418317542348551,0.8049354282058866,0.2289987508972711,0.6376841971668433,0.6485070341659489,0.9803921568627451,0.30864197530864196,47,0.9293785310734464,0.9787234042553191,0.8888676347566886,0.9962343289895351,0.021276595744680882,0.5708510638297872,0.44680851063829785,0.6808510638297872,1.714498695490123,-2.607042817319149,0.5420125698468085,-26.07042817319149,5.420125698468085
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.680415303655241,0.8242626431919104,1561,247,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT,0.6672833491117208,248,0.6048387096774194,0.6900680272108844,0.8012549701572477,0.2166112668335921,0.6167676584461808,0.6531292517006803,0.9607843137254902,0.32666666666666666,47,0.9293785310734464,0.9574468085106383,0.8575121280614056,0.9882519706294304,0.04255319148936165,0.5094893617021277,0.3829787234042553,0.6382978723404256,1.8792282635930846,1.0652969650999995,0.3924940319276596,10.652969650999996,3.924940319276596
