hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor,threshold
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.6785642536663764,0.789203086277651,1067,246,52,"{""C"": 1.0, ""class_weight"": ""balanced""}",RUB_TJS,0.7934553817826353
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7033806626098716,0.8108383263537078,1067,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.6841474849764827
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.6691097364174287,0.7823825833537044,1067,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.6877172508851025
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7061509721165156,0.8157678019695458,1066,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.6611348744811579
H007_add_usd_eur,1,0,per_corridor,logistic,2022,0.7217650962176511,0.815418138250241,1066,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.6329386483692745
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6523404848147117,0.7840122261207401,1314,245,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.6533725541029891
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.640499194847021,0.7570929156751818,1315,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.6592864269349187
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6610767872903796,0.7515606759295471,1315,246,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KGS,0.7426273316747459
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6210993513144418,0.7363781111565038,1313,246,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.7646986233887565
H007_add_usd_eur,1,0,per_corridor,logistic,2023,0.6046046046046045,0.6921523471275794,1314,246,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT,0.9245985098967449
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.7092002830856333,0.8380608751292582,1560,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.6707768021781141
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.7201867816091954,0.850989589606329,1562,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_UZS,0.6539790023674164
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.6960729312762973,0.8285288712461518,1562,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS,0.6918938129599752
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.6924568965517239,0.831559788207291,1560,247,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.7129806706664065
H007_add_usd_eur,1,0,per_corridor,logistic,2024,0.680415303655241,0.8242626431919104,1561,247,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KZT,0.6672833491117208
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6998579545454544,0.8356530383287449,1808,248,52,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_TJS,0.6955423304707393
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6938920454545454,0.8288308042173782,1810,248,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.6892161838960538
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6850675428988682,0.8382190996836385,1810,248,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS,0.609712088699027
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.6772179155900085,0.8189835720264316,1808,248,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.6655655462193342
H007_add_usd_eur,1,0,per_corridor,logistic,2025,0.7065986394557823,0.810289346385217,1809,248,52,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT,0.6047620470293885
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.733134989275583,0.8364154952469496,2056,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.7522364048750102
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.6731805929919138,0.7854647222987003,2058,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.7144209083145876
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.7182779958746424,0.80498973999679,2058,246,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.5881345963492441
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.7137766422376117,0.8101789047063153,2056,246,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.7971178292935887
H007_add_usd_eur,1,0,per_corridor,logistic,2026,0.7023972602739726,0.8160830085945044,2057,246,52,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_KZT,0.882951915582808
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2022,0.6971159286742001,0.8002787164055241,5333,1233,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.766771500181665
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2022,0.6971159286742001,0.8002787164055241,5333,1233,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.7567555097683273
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2022,0.6971159286742001,0.8002787164055241,5333,1233,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.7304633257086357
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2022,0.6971159286742001,0.8002787164055241,5333,1233,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS,0.7723726107643789
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2022,0.6971159286742001,0.8002787164055241,5333,1233,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.7449278461481897
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2023,0.635203970923294,0.7599185135155451,6571,1229,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.7526756833633694
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2023,0.635203970923294,0.7599185135155451,6571,1229,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS,0.8097796669300719
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2023,0.635203970923294,0.7599185135155451,6571,1229,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT,0.7751062096581492
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2023,0.635203970923294,0.7599185135155451,6571,1229,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.7709764156354716
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2023,0.635203970923294,0.7599185135155451,6571,1229,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_UZS,0.7659426089557161
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2024,0.7127065851230265,0.8414789927002291,7805,1235,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD,0.6362744247508709
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2024,0.7127065851230265,0.8414789927002291,7805,1235,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS,0.7723961427328618
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2024,0.7127065851230265,0.8414789927002291,7805,1235,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT,0.6134917913466912
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2024,0.7127065851230265,0.8414789927002291,7805,1235,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS,0.6332646304676864
H007_add_usd_eur,1,0,pooled_with_corridor_thresholds,logistic,2024,0.7127065851230265,0.8414789927002291,7805,1235,57,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_UZS,0.6213569489559541
