hypothesis_id,horizon_days,strategy,model,test_year,validation_auc,feature_count,hyperparameters,corridor,threshold,test_rows,signals,signals_per_week,signal_hit_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2022,0.552780318561741,22,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD,0.727755909866636,247,2,0.03954802259887006,0.5,0.64,0.0,1.0,0.78125,-46.94147479555
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2022,0.552780318561741,22,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS,0.7193768821671596,247,8,0.15819209039548024,0.75,0.4575,0.25,0.75,1.639344262295082,57.044189790237496
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2022,0.552780318561741,22,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT,0.758103334566402,247,0,0.0,,,,,,
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2022,0.552780318561741,22,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS,0.7080132179572416,246,6,0.11864406779661017,0.6666666666666666,0.412,0.16666666666666666,0.8333333333333334,1.6181229773462784,-15.944646334583334
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2022,0.552780318561741,22,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS,0.6934987163491468,247,7,0.1384180790960452,0.8571428571428571,0.4554285714285714,0.14285714285714285,0.7142857142857143,1.8820577164366374,74.8453679908143
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2023,0.5511229684479896,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD,0.06656805341663949,247,51,1.0084745762711864,0.6274509803921569,0.6836078431372548,0.6078431372549019,0.7647058823529411,0.9178522257916477,-11.109801062762745
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2023,0.5511229684479896,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS,0.5073872240155632,247,13,0.2570621468926554,0.5384615384615384,0.7715384615384616,0.6153846153846154,0.9230769230769231,0.6979062811565303,-8.3443670611
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2023,0.5511229684479896,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT,0.4969896748104332,247,13,0.2570621468926554,0.3076923076923077,0.6512307692307693,0.4980769230769232,0.8461538461538461,0.4724781478856603,1.186068924369228
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2023,0.5511229684479896,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS,0.06297615435152229,247,51,1.0084745762711864,0.6078431372549019,0.6813333333333332,0.5686274509803921,0.7647058823529411,0.8921376769886037,-12.085285603141173
H001_price_core,3,pooled_with_corridor_thresholds,logistic,2023,0.5511229684479896,22,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS,0.43834896731735656,247,20,0.3954802259887006,0.55,0.758,0.65,0.8762499999999989,0.7255936675461742,-0.28528520709000027
