hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,threshold,evaluation_weeks,candidates,candidates_per_week,candidate_precision,candidate_recall,balanced_accuracy
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2022,0.7834135733664024,50.57142857142857,13,0.2570621468926554,0.8461538461538461,0.07746478873239436,0.5291170097508126
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2022,0.868395298608546,50.57142857142857,3,0.059322033898305086,0.6666666666666666,0.015037593984962405,0.5031328320802004
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2022,0.8323707573797944,50.57142857142857,15,0.2966101694915254,0.6666666666666666,0.072992700729927,0.5137690776376908
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2022,0.8318685046533155,50.57142857142857,18,0.3559322033898305,0.7222222222222222,0.09219858156028368,0.5225143851197644
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2022,0.8084581530256965,50.57142857142857,19,0.37570621468926557,0.631578947368421,0.09523809523809523,0.5186934277843369
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2023,0.6658699342163801,50.57142857142857,70,1.384180790960452,0.8428571428571429,0.32065217391304346,0.5730244996549344
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2023,0.7645119098103652,50.57142857142857,44,0.8700564971751413,0.9090909090909091,0.21978021978021978,0.5791208791208791
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2023,0.7451917500319035,50.57142857142857,47,0.9293785310734464,0.8723404255319149,0.22162162162162163,0.5624237140366173
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2023,0.7210311703657202,50.57142857142857,38,0.7514124293785311,0.8421052631578947,0.17679558011049723,0.5429432446007032
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2023,0.766329352421628,50.57142857142857,46,0.9096045197740114,0.7608695652173914,0.22580645161290322,0.5531206171107994
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2024,0.7460767148241575,50.57142857142857,77,1.5225988700564972,0.9090909090909091,0.3783783783783784,0.6336336336336337
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2024,0.846460021902897,50.57142857142857,43,0.8502824858757062,0.8604651162790697,0.21142857142857144,0.5646183953033268
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2024,0.7878600778883895,50.57142857142857,54,1.0677966101694916,0.8518518518518519,0.25274725274725274,0.5657675657675658
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2024,0.5983722572361327,50.57142857142857,186,3.6779661016949152,0.7956989247311828,0.7956989247311828,0.5913978494623655
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2024,0.766303093690098,50.57142857142857,64,1.265536723163842,0.796875,0.30538922155688625,0.5724476971981962
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2025,0.7769130809628544,50.714285714285715,39,0.7690140845070422,0.8461538461538461,0.2,0.5634146341463415
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2025,0.8608681060282369,50.714285714285715,11,0.21690140845070421,1.0,0.07857142857142857,0.5392857142857143
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2025,0.7892713499430196,50.714285714285715,44,0.8676056338028169,0.8181818181818182,0.22784810126582278,0.5689802304081923
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2025,0.7042823791530153,50.714285714285715,105,2.0704225352112675,0.7619047619047619,0.5298013245033113,0.6346923289183224
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2025,0.7728232742119538,50.714285714285715,61,1.2028169014084507,0.7704918032786885,0.31333333333333335,0.5845017182130584
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2026,0.8020361946887773,32.57142857142857,19,0.5833333333333334,0.8947368421052632,0.1619047619047619,0.5624338624338624
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2026,0.8559756608875385,32.57142857142857,11,0.33771929824561403,0.7272727272727273,0.07920792079207921,0.5132881709223553
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2026,0.8616980137176934,32.57142857142857,9,0.27631578947368424,0.8888888888888888,0.0761904761904762,0.529004329004329
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2026,0.8410741761451372,32.57142857142857,11,0.33771929824561403,0.8181818181818182,0.08256880733944955,0.5216765605324699
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2026,0.7342934428106289,32.57142857142857,37,1.1359649122807018,0.7837837837837838,0.26605504587155965,0.5545961503867602
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_AMD,2022,0.7993285025401534,50.57142857142857,14,0.2768361581920904,0.7857142857142857,0.07801418439716312,0.5248561488023551
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KGS,2022,0.8515972870861761,50.57142857142857,4,0.07909604519774012,0.75,0.021897810218978103,0.5064034505640346
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KZT,2022,0.8398288218062778,50.57142857142857,5,0.09887005649717515,1.0,0.03968253968253968,0.5198412698412699
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_TJS,2022,0.8588382632738751,50.57142857142857,5,0.09887005649717515,1.0,0.035211267605633804,0.5176056338028169
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_UZS,2022,0.8270189730636414,50.57142857142857,9,0.17796610169491525,0.7777777777777778,0.05263157894736842,0.5175438596491228
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_AMD,2023,0.6867302147830413,50.57142857142857,67,1.3248587570621468,0.7761194029850746,0.287292817679558,0.5300100452034153
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KGS,2023,0.7982307857538619,50.57142857142857,21,0.4152542372881356,0.8571428571428571,0.0972972972972973,0.5244551002615518
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KZT,2023,0.588787771359322,50.57142857142857,102,2.016949152542373,0.7352941176470589,0.4838709677419355,0.5951963534361852
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_TJS,2023,0.632827515274142,50.57142857142857,94,1.8587570621468927,0.8191489361702128,0.41847826086956524,0.5743184955141477
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_UZS,2023,0.6202920147340898,50.57142857142857,95,1.8785310734463279,0.8210526315789474,0.42857142857142855,0.5835164835164836
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_AMD,2024,0.792359767481658,50.57142857142857,66,1.305084745762712,0.8636363636363636,0.3064516129032258,0.5806451612903226
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KGS,2024,0.7843871205230983,50.57142857142857,71,1.4039548022598871,0.8732394366197183,0.34065934065934067,0.6021478521478522
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KZT,2024,0.744871621217465,50.57142857142857,85,1.6807909604519775,0.8235294117647058,0.41916167664670656,0.6169882457307607
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_TJS,2024,0.7910658747699544,50.57142857142857,69,1.364406779661017,0.8840579710144928,0.32972972972972975,0.6013728013728014
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_UZS,2024,0.7354790984406777,50.57142857142857,97,1.9180790960451979,0.8556701030927835,0.4742857142857143,0.641252446183953
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_AMD,2025,0.7941494524046974,50.714285714285715,54,1.064788732394366,0.8518518518518519,0.304635761589404,0.6106512141280354
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KGS,2025,0.7885510114519886,50.714285714285715,54,1.064788732394366,0.8703703703703703,0.2974683544303797,0.6094083345185607
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KZT,2025,0.8345342600176437,50.714285714285715,27,0.532394366197183,0.8148148148148148,0.14666666666666667,0.5475601374570447
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_TJS,2025,0.7838817875090288,50.714285714285715,55,1.084507042253521,0.8545454545454545,0.28484848484848485,0.5936437546193644
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_UZS,2025,0.8563914487487525,50.714285714285715,18,0.3549295774647887,0.8888888888888888,0.11428571428571428,0.5477970627503338
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_AMD,2026,0.8656067587994659,32.57142857142857,2,0.06140350877192983,1.0,0.01834862385321101,0.5091743119266054
