hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,train_rows,validation_rows,test_rows,feature_count,hyperparameters,validation_auc,validation_pr_auc,train_target_rate,validation_target_rate,target_positives,target_rate,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2022,1064,244,246,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6444513570262074,0.8050784096110644,0.6757518796992481,0.6844262295081968,142,0.5772357723577236,0.636443661971831,0.726333542737984,0.5772357723577236,0.1490977703802604,1.2582961374193244,0.24351380557817215,0.25552442957243326,0.04700381882999749,0.685620706411752
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2022,1064,245,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6353564547206166,0.8246022536165148,0.6578947368421053,0.7061224489795919,133,0.5384615384615384,0.6211581585542805,0.6744830378563311,0.5384615384615384,0.1360214993947927,1.2526113560189007,0.24509505671326448,0.2766308909749143,0.11399968438271613,0.6864126696179131
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2022,1064,245,247,52,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6333333333333333,0.77561567951001,0.6842105263157895,0.673469387755102,137,0.5546558704453441,0.603384207033842,0.6446248999443185,0.5546558704453441,0.08996902949897434,1.162206936395961,0.2542008886050063,0.26112938772137795,0.026532820288171832,0.7134151929717027
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2022,1063,244,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6604010025062657,0.8135965493633053,0.6735653809971778,0.6885245901639344,141,0.5708502024291497,0.538204201793122,0.6094897767242765,0.5708502024291497,0.038639574295126766,1.0676877648999739,0.2832487724224828,0.25882751034450485,-0.09435342497199284,0.7765253603817772
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2022,1063,245,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6659189099368561,0.8250110326628558,0.7187206020696143,0.7224489795918367,126,0.5101214574898786,0.5578512396694214,0.588365554955077,0.5101214574898786,0.07824409746519845,1.1533832704278097,0.2662592536011499,0.2949805327402381,0.09736669356543737,0.7322092586989124
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2023,1311,243,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6193158114309555,0.6936749161685096,0.6781083142639207,0.5802469135802469,184,0.7449392712550608,0.5747929606625258,0.7899271331379778,0.7449392712550608,0.044987861882917035,1.0603913145928288,0.2342328947513744,0.21712832607352858,-0.07877631162713206,0.6622539403121013
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2023,1312,244,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6188446969696971,0.6726365869708625,0.6676829268292683,0.5409836065573771,182,0.7368421052631579,0.6526627218934912,0.8453157183046505,0.7368421052631579,0.10847361304149261,1.14721418912774,0.20937266001286722,0.23226636868979755,0.0985666104226477,0.6043566460256325
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2023,1312,244,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.6260212418300652,0.6732172792270252,0.6829268292682927,0.5573770491803278,185,0.7489878542510121,0.5957279860505666,0.823070331257534,0.7489878542510121,0.07408247700652193,1.0989101179492482,0.22371871994707784,0.22471974905531258,0.004454566687809636,0.6363721935776518
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2023,1310,244,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.5852335164835165,0.6659418964643445,0.6770992366412214,0.5737704918032787,181,0.7327935222672065,0.5388414532060941,0.7801583063768229,0.7327935222672065,0.04736478410961642,1.0646359208567693,0.25926653361839747,0.22109550020835889,-0.17264500351235768,0.7166845659273009
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2023,1311,244,247,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.5715630252100841,0.5804990493571694,0.7200610221205187,0.5122950819672131,155,0.6275303643724697,0.5376577840112202,0.6695707605818435,0.6275303643724697,0.04204039620937383,1.0669934055723571,0.25574371292427417,0.24701517647404436,-0.035336033092472574,0.7115005356534794
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2024,1557,245,248,52,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",0.631235677771902,0.8409086018763171,0.6634553628773282,0.746938775510204,185,0.7459677419354839,0.6742170742170742,0.8370976720934753,0.7459677419354839,0.09112993015799142,1.1221633658334156,0.18081411154996174,0.18950081283336245,0.04583991568964596,0.5441792554185799
