hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,folds,active_folds,inactive_folds,active_fold_share,test_rows,evaluation_weeks,candidates,candidates_per_week,signals,signals_per_week,suppressed_by_cooldown,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_pushes,false_push_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss,balanced_accuracy,candidate_precision,candidate_recall,mean_advantage_bps,mean_regret_bps,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,5,5,0,1.0,1147,235.0,112,0.4765957446808511,80,0.3404255319148936,32,0.8625,0.7703270280036946,0.9214536632044886,11,0.13749999999999996,0.6826749999999999,1.2634123118614278,1.2254901960784312,1.095118898623279,1,0.6413483617127115,0.7620922229808431,0.6373147340889277,0.12477748889191549,1.2009864823704408,0.2219463543674996,0.24425334460758105,0.089794143322164,0.6333568536690181,0.5419748309818616,0.875,0.13406292749658003,9.131862795043748,21.67467394733875,91.31862795043749,216.74673947338752
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,5,5,0,1.0,1147,235.0,218,0.9276595744680851,135,0.574468085106383,83,0.8814814814814815,0.8161354338998882,0.9257171520685825,16,0.11851851851851847,0.7041925925925925,1.2517619338144028,1.2816600549282882,1.1351153423654339,2,0.6307367113643976,0.7867381349098885,0.6809067131647777,0.10583142174511086,1.1616337456654893,0.21703206354208993,0.22265825117215066,0.02436903809412292,0.6240575611319499,0.5731746954801572,0.8715596330275229,0.24327784891165172,21.14275465262741,23.99757170252519,211.42754652627406,239.9757170252518
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,5,5,0,1.0,1149,235.0,227,0.9659574468085106,136,0.5787234042553191,91,0.7647058823529411,0.6867533500243427,0.8281149009110012,32,0.23529411764705888,0.6324558823529411,1.209105494454391,1.1955366631243358,1.1452682338758287,0,0.5724153991022982,0.6844791407735381,0.6153176675369887,0.06916147323654945,1.114707458208521,0.24382735992391438,0.24773726072708194,0.011548375349658555,0.684488232709798,0.5568428254610603,0.7665198237885462,0.24611032531824611,20.143726804909562,43.618483919712496,201.43726804909562,436.18483919712503
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,5,5,0,1.0,1149,235.0,169,0.7191489361702128,117,0.4978723404255319,52,0.8034188034188035,0.7222613341736048,0.8652846764717359,23,0.19658119658119655,0.6897606837606839,1.1647790637158928,1.1497189575881452,1.121780489993718,1,0.6268761066419314,0.7706713144200372,0.6675369886858138,0.10313432573422354,1.1576630277256572,0.22115814189414584,0.2295393544965218,0.035599227858231615,0.6328331473531904,0.5494419368193444,0.834319526627219,0.18383311603650587,27.713417122356415,31.608059590252992,277.1341712235641,316.08059590253
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,5,5,0,1.0,1149,235.0,358,1.523404255319149,143,0.6085106382978723,215,0.6993006993006993,0.6197334043040457,0.7684399743570421,43,0.30069930069930073,0.6844195804195803,1.0217426843223805,1.0005130836326321,0.9649404953361209,0,0.6017200595348229,0.7551767169668571,0.6684073107049608,0.08676940626189622,1.1338635719201333,0.2327410334275877,0.22982238709890337,-0.015620800709047585,0.6593123962724408,0.5657719374548676,0.7877094972067039,0.3671875,17.94236932267902,51.22315029558811,179.42369322679016,512.231502955881
H008_pooling_ablation,3,50,pooled,catboost,RUB_KZT,5,5,0,1.0,1149,235.0,212,0.902127659574468,118,0.502127659574468,94,0.7796610169491526,0.6967206754741533,0.8449662360568837,26,0.22033898305084743,0.6296271186440677,1.238290082911597,1.2802692223278953,1.0362694300518134,2,0.6269806148903138,0.7284810202416327,0.6153176675369887,0.11316335270464406,1.1914034086066987,0.2287332837327885,0.24530638872240307,0.06238875360403592,0.6497781656001212,0.5657277673663668,0.8018867924528302,0.24045261669024046,14.500766169161867,37.01483522289408,145.00766169161864,370.1483522289408
H008_pooling_ablation,3,50,pooled,catboost,RUB_TJS,5,5,0,1.0,1147,235.0,253,1.0765957446808512,133,0.5659574468085107,120,0.8646616541353384,0.7962007135432557,0.9126480575906685,18,0.13533834586466165,0.7122706766917293,1.213950935270025,1.2709880259549131,1.066649427888034,2,0.6375997589722451,0.7844123124155212,0.6809067131647777,0.10350559925074364,1.1567308818465514,0.21466531542986214,0.22502169185041393,0.04524163881395436,0.6184022989171547,0.5715536666859057,0.8537549407114624,0.2765685019206146,20.344814968894735,25.988404222409024,203.44814968894735,259.8840422240903
H008_pooling_ablation,3,50,pooled,catboost,RUB_UZS,5,5,0,1.0,1147,235.0,246,1.0468085106382978,135,0.574468085106383,111,0.7925925925925926,0.7165702418725077,0.8524234891130184,28,0.20740740740740737,0.662074074074074,1.197135824569255,1.2447589098532497,1.057876057876058,2,0.6272489510928692,0.7476476532214886,0.6373147340889277,0.1103329191325609,1.1798852541146192,0.22634354459051245,0.24260338554196487,0.06500735627826777,0.6440402774120656,0.567444756886899,0.8170731707317073,0.2749658002735978,19.026658680711854,34.561392984559994,190.26658680711856,345.6139298456
H008_pooling_ablation,3,50,pooled,catboost,RUB_KGS,5,5,0,1.0,1149,235.0,254,1.0808510638297872,131,0.5574468085106383,123,0.8396946564885496,0.7673383709938736,0.8926953278053098,21,0.16030534351145043,0.7061068702290075,1.1891891891891893,1.2826930296583658,1.048572588283047,2,0.6421552144964046,0.7794041583674073,0.6675369886858138,0.11186716968159356,1.1729775044817685,0.21583121213677992,0.2308183154759172,0.06294720289247636,0.6205034797634783,0.5766712658839969,0.8543307086614174,0.28292046936114734,19.78754072397023,29.951709644093892,197.8754072397023,299.51709644093893
H008_pooling_ablation,3,50,pooled,catboost,RUB_AMD,5,5,0,1.0,1149,235.0,236,1.004255319148936,127,0.5404255319148936,109,0.7952755905511811,0.7169250871965483,0.8562871021988733,26,0.20472440944881887,0.700488188976378,1.1353162024235066,1.2371526456033497,0.8981175456243712,1,0.6180949782945022,0.7726168690214925,0.6684073107049608,0.10420955831653175,1.1654316123750352,0.22118548090422077,0.2301870861209946,0.034184454391140415,0.6320010816564281,0.5541306157294724,0.8177966101694916,0.2513020833333333,17.625709601577952,30.182538928969294,176.2570960157795,301.8253892896929
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_KGS,5,5,0,1.0,1149,235.0,161,0.6851063829787234,99,0.42127659574468085,62,0.8787878787878788,0.7999916857455538,0.9292851827590202,12,0.12121212121212122,0.6936767676767676,1.2668549960683813,1.2824956672443675,1.1300595849599342,2,0.6421552144964046,0.7794041583674073,0.6675369886858138,0.11186716968159356,1.1729775044817685,0.21583121213677992,0.2308183154759172,0.06294720289247636,0.6205034797634783,0.5575657877956257,0.8695652173913043,0.18252933507170796,26.429970348969697,19.211457929673738,264.299703489697,192.1145792967374
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,RUB_TJS,5,5,0,1.0,1147,235.0,242,1.0297872340425531,133,0.5659574468085107,109,0.8646616541353384,0.7962007135432557,0.9126480575906685,18,0.13533834586466165,0.7095037593984962,1.2186850917722862,1.2673378863620364,1.08843537414966,2,0.6375997589722451,0.7844123124155212,0.6809067131647777,0.10350559925074364,1.1567308818465514,0.21466531542986214,0.22502169185041393,0.04524163881395436,0.6184022989171547,0.5705188322283429,0.8553719008264463,0.26504481434058896,18.02602372855714,25.018436986343612,180.2602372855714,250.18436986343607
