hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,test_year,threshold,evaluation_weeks,candidates,signals,signals_per_week,suppressed_by_cooldown,signal_active,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2022,0.7834135733664024,50.57142857142857,13,11,0.21751412429378533,2,True,9,2,0.8181818181818182,0.5230138624217553,0.9486333993289994,0.18181818181818177,0.5725454545454545,0.2727272727272727,0.8181818181818182,1.429025087329311,105.7801205256636,40.18763648012727,1057.801205256636,401.87636480127264
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2022,0.868395298608546,50.57142857142857,3,3,0.059322033898305086,0,True,2,1,0.6666666666666666,0.20765495512648788,0.9385096847238393,0.33333333333333337,0.544,0.0,1.0,1.2254901960784312,-24.406238735299997,178.9120850299333,-244.06238735299996,1789.1208502993331
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2022,0.8323707573797944,50.57142857142857,15,14,0.2768361581920904,1,True,9,5,0.6428571428571429,0.3876400468214041,0.8365550926279727,0.3571428571428571,0.5591428571428572,0.2857142857142857,0.7857142857142857,1.1497189575881452,125.02991688015001,95.31810333357143,1250.2991688015002,953.1810333357142
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2022,0.8318685046533155,50.57142857142857,18,11,0.21751412429378533,7,True,6,5,0.5454545454545454,0.2800877556899882,0.7872904245601196,0.4545454545454546,0.5652727272727273,0.36363636363636365,0.8181818181818182,0.9649404953361209,136.98180632093636,113.28357764697274,1369.8180632093636,1132.8357764697273
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2022,0.8084581530256965,50.57142857142857,19,14,0.2768361581920904,5,True,9,5,0.6428571428571429,0.3876400468214041,0.8365550926279727,0.3571428571428571,0.5098571428571428,0.2857142857142857,0.7142857142857143,1.2608573830204541,140.97488890324286,74.23024399575,1409.7488890324285,742.3024399574999
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_TJS,2023,0.6658699342163801,50.57142857142857,70,37,0.731638418079096,33,True,31,6,0.8378378378378378,0.6886320070454415,0.9234889676470291,0.16216216216216217,0.7381081081081081,0.6074324324324325,0.8648648648648649,1.1351153423654339,16.153598036594595,32.12006611953784,161.53598036594593,321.20066119537836
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_UZS,2023,0.7645119098103652,50.57142857142857,44,27,0.5338983050847458,17,True,24,3,0.8888888888888888,0.7194181745602704,0.9614803521050128,0.11111111111111116,0.7354814814814815,0.5925925925925926,0.8888888888888888,1.2085809245644072,22.3730087624037,14.732299662870373,223.730087624037,147.32299662870375
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KGS,2023,0.7451917500319035,50.57142857142857,47,30,0.5932203389830508,17,True,25,5,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.16666666666666663,0.7428666666666667,0.6,0.8666666666666667,1.121780489993718,28.51006176907333,27.35555353562334,285.1006176907333,273.5555353562334
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_AMD,2023,0.7210311703657202,50.57142857142857,38,23,0.4548022598870057,15,True,18,5,0.782608695652174,0.5809611981726508,0.9033616439828095,0.21739130434782605,0.7299130434782609,0.5652173913043478,0.8695652173913043,1.072194424588992,33.8327446459913,29.924338761065222,338.32744645991295,299.2433876106522
H008_pooling_ablation,3,50,per_corridor,catboost,RUB_KZT,2023,0.766329352421628,50.57142857142857,46,22,0.43502824858757067,24,True,16,6,0.7272727272727273,0.5184787630099803,0.8684941798418556,0.2727272727272727,0.6150909090909091,0.45454545454545453,0.8181818181818182,1.182382500738989,32.207403247109085,70.15789003811818,322.07403247109085,701.5789003811818
