hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,train_target_rate,validation_target_rate,hyperparameters,corridor
H008_pooling_ablation,3,50,per_corridor,catboost,2026,0.7322427293064878,0.8174520102049257,2054,245,52,0.6801363193768257,0.6081632653061224,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_AMD
H008_pooling_ablation,3,50,per_corridor,catboost,2026,0.6241989412092503,0.729710083615011,2055,245,52,0.678345498783455,0.6040816326530613,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KZT
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,2022,0.6705314619145246,0.8209706856101542,5318,1223,57,0.6820233170364799,0.6950122649223222,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,2023,0.6240682764816378,0.6656722373724164,6556,1219,57,0.6851738865161684,0.5529122231337161,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,2024,0.6402212074017369,0.8235536451465424,7790,1225,57,0.6650834403080873,0.7191836734693877,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,2025,0.6676665038267383,0.8282184517269204,9030,1235,57,0.6718715393133998,0.7206477732793523,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_with_corridor_thresholds,catboost,2026,0.6738667657841829,0.7729676486489917,10275,1225,57,0.6776642335766423,0.6155102040816327,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_without_corridor_feature,catboost,2022,0.6684529254060875,0.8250565450327265,5318,1223,52,0.6820233170364799,0.6950122649223222,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_without_corridor_feature,catboost,2023,0.6166675741159175,0.6462941752989575,6556,1219,52,0.6851738865161684,0.5529122231337161,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_without_corridor_feature,catboost,2024,0.6424979542274899,0.8190774187961796,7790,1225,52,0.6650834403080873,0.7191836734693877,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_without_corridor_feature,catboost,2025,0.6872300928187591,0.8403406936689859,9030,1235,52,0.6718715393133998,0.7206477732793523,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled_without_corridor_feature,catboost,2026,0.6700555283357832,0.768718190101807,10275,1225,52,0.6776642335766423,0.6155102040816327,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled,catboost,2022,0.6705314619145246,0.8209706856101542,5318,1223,57,0.6820233170364799,0.6950122649223222,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled,catboost,2023,0.6240682764816378,0.6656722373724164,6556,1219,57,0.6851738865161684,0.5529122231337161,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled,catboost,2024,0.6402212074017369,0.8235536451465424,7790,1225,57,0.6650834403080873,0.7191836734693877,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled,catboost,2025,0.6676665038267383,0.8282184517269204,9030,1235,57,0.6718715393133998,0.7206477732793523,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
H008_pooling_ablation,3,50,pooled,catboost,2026,0.6738667657841829,0.7729676486489917,10275,1225,57,0.6776642335766423,0.6155102040816327,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ALL
