hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,train_target_rate,validation_target_rate,hyperparameters,corridor,threshold,test_rows,evaluation_weeks,target_positives,target_rate,roc_auc,pr_auc,pr_auc_baseline,pr_auc_gain,pr_auc_ratio,brier,brier_baseline,brier_skill_score,log_loss,balanced_accuracy,candidate_precision,candidate_recall,candidates,candidates_per_week,signals,signals_per_week,suppressed_by_cooldown,signal_active,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,moment_advantage_bps_mean,future_regret_bps_mean,client_advantage_rub_mean,client_regret_rub_mean
H008_pooling_ablation,3,50,per_corridor,catboost,2022,0.6444513570262074,0.8050784096110644,1064,244,52,0.6757518796992481,0.6844262295081968,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_TJS,0.7834135733664024,246,50.57142857142857,142,0.5772357723577236,0.636443661971831,0.726333542737984,0.5772357723577236,0.1490977703802604,1.2582961374193244,0.24351380557817215,0.25552442957243326,0.04700381882999749,0.685620706411752,0.5291170097508126,0.8461538461538461,0.07746478873239436,13,0.2570621468926554,11,0.21751412429378533,2,True,9,2,0.8181818181818182,0.5230138624217553,0.9486333993289994,0.18181818181818177,0.5725454545454545,0.2727272727272727,0.8181818181818182,1.429025087329311,105.7801205256636,40.18763648012727,1057.801205256636,401.87636480127264
H008_pooling_ablation,3,50,per_corridor,catboost,2022,0.6353564547206166,0.8246022536165148,1064,245,52,0.6578947368421053,0.7061224489795919,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_UZS,0.868395298608546,247,50.57142857142857,133,0.5384615384615384,0.6211581585542805,0.6744830378563311,0.5384615384615384,0.1360214993947927,1.2526113560189007,0.24509505671326448,0.2766308909749143,0.11399968438271613,0.6864126696179131,0.5031328320802004,0.6666666666666666,0.015037593984962405,3,0.059322033898305086,3,0.059322033898305086,0,True,2,1,0.6666666666666666,0.20765495512648788,0.9385096847238393,0.33333333333333337,0.544,0.0,1.0,1.2254901960784312,-24.406238735299997,178.9120850299333,-244.06238735299996,1789.1208502993331
H008_pooling_ablation,3,50,per_corridor,catboost,2022,0.6333333333333333,0.77561567951001,1064,245,52,0.6842105263157895,0.673469387755102,"{""depth"": 6, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KGS,0.8323707573797944,247,50.57142857142857,137,0.5546558704453441,0.603384207033842,0.6446248999443185,0.5546558704453441,0.08996902949897434,1.162206936395961,0.2542008886050063,0.26112938772137795,0.026532820288171832,0.7134151929717027,0.5137690776376908,0.6666666666666666,0.072992700729927,15,0.2966101694915254,14,0.2768361581920904,1,True,9,5,0.6428571428571429,0.3876400468214041,0.8365550926279727,0.3571428571428571,0.5591428571428572,0.2857142857142857,0.7857142857142857,1.1497189575881452,125.02991688015001,95.31810333357143,1250.2991688015002,953.1810333357142
H008_pooling_ablation,3,50,per_corridor,catboost,2022,0.6604010025062657,0.8135965493633053,1063,244,52,0.6735653809971778,0.6885245901639344,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_AMD,0.8318685046533155,247,50.57142857142857,141,0.5708502024291497,0.538204201793122,0.6094897767242765,0.5708502024291497,0.038639574295126766,1.0676877648999739,0.2832487724224828,0.25882751034450485,-0.09435342497199284,0.7765253603817772,0.5225143851197644,0.7222222222222222,0.09219858156028368,18,0.3559322033898305,11,0.21751412429378533,7,True,6,5,0.5454545454545454,0.2800877556899882,0.7872904245601196,0.4545454545454546,0.5652727272727273,0.36363636363636365,0.8181818181818182,0.9649404953361209,136.98180632093636,113.28357764697274,1369.8180632093636,1132.8357764697273
H008_pooling_ablation,3,50,per_corridor,catboost,2022,0.6659189099368561,0.8250110326628558,1063,245,52,0.7187206020696143,0.7224489795918367,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KZT,0.8084581530256965,247,50.57142857142857,126,0.5101214574898786,0.5578512396694214,0.588365554955077,0.5101214574898786,0.07824409746519845,1.1533832704278097,0.2662592536011499,0.2949805327402381,0.09736669356543737,0.7322092586989124,0.5186934277843369,0.631578947368421,0.09523809523809523,19,0.37570621468926557,14,0.2768361581920904,5,True,9,5,0.6428571428571429,0.3876400468214041,0.8365550926279727,0.3571428571428571,0.5098571428571428,0.2857142857142857,0.7142857142857143,1.2608573830204541,140.97488890324286,74.23024399575,1409.7488890324285,742.3024399574999
H008_pooling_ablation,3,50,per_corridor,catboost,2023,0.6193158114309555,0.6936749161685096,1311,243,52,0.6781083142639207,0.5802469135802469,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_TJS,0.6658699342163801,247,50.57142857142857,184,0.7449392712550608,0.5747929606625258,0.7899271331379778,0.7449392712550608,0.044987861882917035,1.0603913145928288,0.2342328947513744,0.21712832607352858,-0.07877631162713206,0.6622539403121013,0.5730244996549344,0.8428571428571429,0.32065217391304346,70,1.384180790960452,37,0.731638418079096,33,True,31,6,0.8378378378378378,0.6886320070454415,0.9234889676470291,0.16216216216216217,0.7381081081081081,0.6074324324324325,0.8648648648648649,1.1351153423654339,16.153598036594595,32.12006611953784,161.53598036594593,321.20066119537836
H008_pooling_ablation,3,50,per_corridor,catboost,2023,0.6188446969696971,0.6726365869708625,1312,244,52,0.6676829268292683,0.5409836065573771,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_UZS,0.7645119098103652,247,50.57142857142857,182,0.7368421052631579,0.6526627218934912,0.8453157183046505,0.7368421052631579,0.10847361304149261,1.14721418912774,0.20937266001286722,0.23226636868979755,0.0985666104226477,0.6043566460256325,0.5791208791208791,0.9090909090909091,0.21978021978021978,44,0.8700564971751413,27,0.5338983050847458,17,True,24,3,0.8888888888888888,0.7194181745602704,0.9614803521050128,0.11111111111111116,0.7354814814814815,0.5925925925925926,0.8888888888888888,1.2085809245644072,22.3730087624037,14.732299662870373,223.730087624037,147.32299662870375
H008_pooling_ablation,3,50,per_corridor,catboost,2023,0.6260212418300652,0.6732172792270252,1312,244,52,0.6829268292682927,0.5573770491803278,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KGS,0.7451917500319035,247,50.57142857142857,185,0.7489878542510121,0.5957279860505666,0.823070331257534,0.7489878542510121,0.07408247700652193,1.0989101179492482,0.22371871994707784,0.22471974905531258,0.004454566687809636,0.6363721935776518,0.5624237140366173,0.8723404255319149,0.22162162162162163,47,0.9293785310734464,30,0.5932203389830508,17,True,25,5,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.16666666666666663,0.7428666666666667,0.6,0.8666666666666667,1.121780489993718,28.51006176907333,27.35555353562334,285.1006176907333,273.5555353562334
H008_pooling_ablation,3,50,per_corridor,catboost,2023,0.5852335164835165,0.6659418964643445,1310,244,52,0.6770992366412214,0.5737704918032787,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_AMD,0.7210311703657202,247,50.57142857142857,181,0.7327935222672065,0.5388414532060941,0.7801583063768229,0.7327935222672065,0.04736478410961642,1.0646359208567693,0.25926653361839747,0.22109550020835889,-0.17264500351235768,0.7166845659273009,0.5429432446007032,0.8421052631578947,0.17679558011049723,38,0.7514124293785311,23,0.4548022598870057,15,True,18,5,0.782608695652174,0.5809611981726508,0.9033616439828095,0.21739130434782605,0.7299130434782609,0.5652173913043478,0.8695652173913043,1.072194424588992,33.8327446459913,29.924338761065222,338.32744645991295,299.2433876106522
H008_pooling_ablation,3,50,per_corridor,catboost,2023,0.5715630252100841,0.5804990493571694,1311,244,52,0.7200610221205187,0.5122950819672131,"{""depth"": 4, ""iterations"": 150, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",RUB_KZT,0.766329352421628,247,50.57142857142857,155,0.6275303643724697,0.5376577840112202,0.6695707605818435,0.6275303643724697,0.04204039620937383,1.0669934055723571,0.25574371292427417,0.24701517647404436,-0.035336033092472574,0.7115005356534794,0.5531206171107994,0.7608695652173914,0.22580645161290322,46,0.9096045197740114,22,0.43502824858757067,24,True,16,6,0.7272727272727273,0.5184787630099803,0.8684941798418556,0.2727272727272727,0.6150909090909091,0.45454545454545453,0.8181818181818182,1.182382500738989,32.207403247109085,70.15789003811818,322.07403247109085,701.5789003811818
