variant,corridor,outer_fold,is_partial_fold,evaluation_days,evaluation_weeks,candidates,candidate_coverage,candidates_per_week,signals,signal_coverage,signal_active,signals_per_week,signals_per_month,suppressed_by_cooldown,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,matched_random_hit_rate,random_hit_rate,matched_random_mcse,delta_hit_rate,lift,mean_realized_regret_bps,future_regret_bps_mean,median_realized_regret_bps,p90_realized_regret_bps,p95_realized_regret_bps,max_realized_regret_bps,false_push_regret_bps_mean,false_push_regret_bps_p90,cooldown_violations,active_months,inactive_months,active_month_share,moment_advantage_bps_mean,inter_signal_gap_days_median,inter_signal_gap_days_p10,share_gaps_le_7_days,max_signals_in_28_calendar_days,max_signals_in_calendar_month,longest_no_signal_gap_days,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
budget_00,RUB_UZS,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_00,RUB_UZS,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_00,RUB_UZS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_00,RUB_UZS,outer_2025,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_00,RUB_UZS,outer_2026,True,241,34.42857142857143,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,8,0.0,,,,,0,0,241.0,3,temporal_v3,4,4
budget_01,RUB_AMD,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_AMD,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_AMD,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_01,RUB_AMD,outer_2025,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_AMD,outer_2026,True,241,34.42857142857143,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,8,0.0,,,,,0,0,241.0,3,temporal_v3,4,4
budget_01,RUB_KGS,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_KGS,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_KGS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_01,RUB_KGS,outer_2025,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_KGS,outer_2026,True,241,34.42857142857143,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,8,0.0,,,,,0,0,241.0,3,temporal_v3,4,4
budget_01,RUB_KZT,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_KZT,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_KZT,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_01,RUB_KZT,outer_2025,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_KZT,outer_2026,True,241,34.42857142857143,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,8,0.0,,,,,0,0,241.0,3,temporal_v3,4,4
budget_01,RUB_TJS,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_TJS,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_TJS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_01,RUB_TJS,outer_2025,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_TJS,outer_2026,True,241,34.42857142857143,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,8,0.0,,,,,0,0,241.0,3,temporal_v3,4,4
budget_01,RUB_UZS,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_UZS,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_UZS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_01,RUB_UZS,outer_2025,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_01,RUB_UZS,outer_2026,True,241,34.42857142857143,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,8,0.0,,,,,0,0,241.0,3,temporal_v3,4,4
budget_02,RUB_AMD,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_02,RUB_AMD,outer_2023,False,365,52.142857142857146,22,0.08906882591093117,0.42191780821917807,12,0.048582995951417005,True,0.23013698630136986,1.0006643835616438,10,9,3,0.75,0.4676896608793401,0.9110599603710388,0.25,,,,,,42.30187993841667,42.30187993841667,16.4292395487,127.69081590306004,166.12184486395995,203.8192083715,132.8329959375,190.11107618694,0,5,7,0.4166666666666667,12.623789674058335,7.0,6.0,0.6363636363636364,5,5,133.0,3,temporal_v3,4,4
budget_02,RUB_AMD,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_02,RUB_AMD,outer_2025,False,365,52.142857142857146,24,0.09716599190283401,0.4602739726027397,15,0.06072874493927125,True,0.2876712328767123,1.2508304794520548,9,14,1,0.9333333333333333,0.7018292244757601,0.9881334113938052,0.06666666666666667,,,,,,15.671709560246665,15.671709560246665,0.0,37.405057228219995,66.39698304184991,123.298456541,123.298456541,123.298456541,0,7,5,0.5833333333333334,27.51632028613333,10.5,7.0,0.5,4,4,84.0,3,temporal_v3,4,4
budget_02,RUB_AMD,outer_2026,True,241,34.42857142857143,14,0.0875,0.4066390041493776,9,0.05625,True,0.2614107883817427,1.136646784232365,5,7,2,0.7777777777777778,0.4525833436728054,0.9367762376877727,0.2222222222222222,,,,,,22.558264375255554,22.558264375255554,0.0,59.560974677260006,73.79322838717998,88.0254820971,70.2351649597,84.46741866962,0,4,4,0.5,17.720921777766666,7.0,6.0,0.875,5,5,93.0,3,temporal_v3,4,4
budget_02,RUB_KGS,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_02,RUB_KGS,outer_2023,False,365,52.142857142857146,20,0.08097165991902834,0.3835616438356164,11,0.044534412955465584,True,0.21095890410958903,0.9172756849315068,9,9,2,0.8181818181818182,0.5230138624217553,0.9486333993289994,0.18181818181818182,,,,,,41.50035784336364,41.50035784336364,3.6009750332,124.8917325585,176.4955374959,228.0993424333,176.4955374959,217.77858144582,0,5,7,0.4166666666666667,36.20050537495455,7.0,6.0,0.7,5,5,133.0,3,temporal_v3,4,4
budget_02,RUB_KGS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_02,RUB_KGS,outer_2025,False,365,52.142857142857146,21,0.08502024291497975,0.4027397260273972,13,0.05263157894736842,True,0.24931506849315066,1.0840530821917809,8,11,2,0.8461538461538461,0.5776482949136899,0.9567427368172621,0.15384615384615385,,,,,,11.59697711476154,11.59697711476154,0.0,46.11680435714001,57.35406397001998,67.1957967693,58.994352769900004,65.55550796942,0,6,6,0.5,23.751741535353844,14.0,7.0,0.4166666666666667,4,4,85.0,3,temporal_v3,4,4
budget_02,RUB_KGS,outer_2026,True,241,34.42857142857143,13,0.08125,0.3775933609958506,8,0.05,True,0.23236514522821575,1.0103526970954357,5,7,1,0.875,0.5291051942301385,0.9775830911367039,0.125,,,,,,28.839263148625,28.839263148625,19.979947859950002,63.741857827489994,81.04205577619499,98.3422537249,98.3422537249,98.3422537249,0,3,5,0.375,14.916678182150001,7.0,6.0,0.8571428571428571,5,5,93.0,3,temporal_v3,4,4
budget_02,RUB_KZT,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_02,RUB_KZT,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_02,RUB_KZT,outer_2024,False,366,52.285714285714285,39,0.15725806451612903,0.7459016393442623,19,0.07661290322580645,True,0.3633879781420765,1.5800563524590165,20,14,5,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.2631578947368421,,,,,,24.548039222094737,24.548039222094737,0.0,68.26606216722,78.62955286975978,171.4026830435,85.85775323592,130.17018074406002,0,9,3,0.75,53.74221444648948,9.0,6.7,0.4444444444444444,4,4,92.0,3,temporal_v3,4,4
budget_02,RUB_KZT,outer_2025,False,365,52.142857142857146,27,0.10931174089068826,0.5178082191780822,18,0.0728744939271255,True,0.34520547945205476,1.5009965753424657,9,13,5,0.7222222222222222,0.49126922453805477,0.8750043085364453,0.2777777777777778,,,,,,27.430300037305553,27.430300037305553,0.0,104.61096526701002,117.32612095948495,142.6486280955,96.34289809738,130.73215414914,0,9,3,0.75,16.446783851772224,7.0,6.0,0.5294117647058824,4,3,72.0,3,temporal_v3,4,4
budget_02,RUB_KZT,outer_2026,True,241,34.42857142857143,12,0.075,0.34854771784232363,8,0.05,True,0.23236514522821575,1.0103526970954357,4,5,3,0.625,0.3057378545838018,0.863158240538479,0.375,,,,,,59.1975614871875,59.1975614871875,11.9968450286,159.97431092707998,187.12881794888995,214.2833249707,149.86226728009999,198.76646381538,0,3,5,0.375,22.139631911775,7.0,6.0,0.5714285714285714,4,4,93.0,3,temporal_v3,4,4
budget_02,RUB_TJS,outer_2022,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_02,RUB_TJS,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
budget_02,RUB_TJS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_02,RUB_TJS,outer_2025,False,365,52.142857142857146,10,0.04048582995951417,0.1917808219178082,9,0.03643724696356275,True,0.17260273972602738,0.7504982876712328,1,8,1,0.8888888888888888,0.5649937852319398,0.9801096286728695,0.1111111111111111,,,,,,36.89899601987778,36.89899601987778,0.0,83.69041507218003,151.81018340093993,219.9299517297,219.9299517297,219.9299517297,0,4,8,0.3333333333333333,8.384281341555555,17.0,6.7,0.25,4,4,182.0,3,temporal_v3,4,4
budget_02,RUB_TJS,outer_2026,True,241,34.42857142857143,22,0.13836477987421383,0.6390041493775933,14,0.0880503144654088,True,0.4066390041493776,1.7681172199170123,8,9,5,0.6428571428571429,0.3876400468214041,0.8365550926279727,0.35714285714285715,,,,,,40.922239409142854,40.922239409142854,33.91059187455,92.32713124208001,106.07340054130998,126.9593869253,91.23466532184001,114.10647222746,0,4,4,0.5,7.689546090878571,7.0,6.0,0.6923076923076923,5,5,93.0,3,temporal_v3,4,4
budget_02,RUB_UZS,outer_2022,False,365,52.142857142857146,2,0.008097165991902834,0.03835616438356164,2,0.008097165991902834,True,0.03835616438356164,0.16677739726027396,0,2,0,1.0,0.3423719528896193,1.0,0.0,,,,,,4.60989151005,4.60989151005,4.60989151005,8.29780471809,8.758793869095,9.2197830201,,,0,2,10,0.16666666666666666,42.905680767449994,126.0,126.0,0.0,1,1,191.0,3,temporal_v3,4,4
budget_02,RUB_UZS,outer_2023,False,365,52.142857142857146,24,0.09716599190283401,0.4602739726027397,14,0.05668016194331984,True,0.2684931506849315,1.1674417808219177,10,11,3,0.7857142857142857,0.5241027622679172,0.9242875166308363,0.21428571428571427,,,,,,32.71847054766429,32.71847054766429,2.8056612008,93.19675663119006,145.62041002312498,215.7818246487,127.54981035613334,194.1936970716,0,7,5,0.5833333333333334,36.629104086171424,7.0,6.0,0.5384615384615384,5,5,124.0,3,temporal_v3,4,4
budget_02,RUB_UZS,outer_2024,False,366,52.285714285714285,44,0.1774193548387097,0.8415300546448088,20,0.08064516129032258,True,0.3825136612021858,1.6632172131147542,24,15,5,0.75,0.5312949900419365,0.888139947210597,0.25,,,,,,24.72919247955,24.72919247955,0.0,69.80775366646,72.83883054865002,97.7032302973,75.19434517388,87.2340093505,0,9,3,0.75,48.53223867469,7.0,6.0,0.631578947368421,5,5,84.0,3,temporal_v3,4,4
budget_02,RUB_UZS,outer_2025,False,365,52.142857142857146,13,0.05263157894736842,0.24931506849315066,8,0.032388663967611336,True,0.15342465753424656,0.6671095890410959,5,7,1,0.875,0.5291051942301385,0.9775830911367039,0.125,,,,,,19.4517896901375,19.4517896901375,0.0,58.46320461125999,78.90037571742997,99.3375468236,99.3375468236,99.3375468236,0,5,7,0.4166666666666667,53.1361533458875,42.0,6.6,0.2857142857142857,3,3,97.0,3,temporal_v3,4,4
budget_02,RUB_UZS,outer_2026,True,241,34.42857142857143,15,0.0949367088607595,0.4356846473029045,10,0.06329113924050633,True,0.2904564315352697,1.2629408713692947,5,6,4,0.6,0.3126695474501863,0.8318224187964901,0.4,,,,,,39.06132022293,39.06132022293,29.7720959982,74.53308417910998,106.41102533220493,138.2889664853,82.76725255822501,117.03700571657001,0,4,4,0.5,13.25775434977,7.0,6.0,0.5555555555555556,4,4,93.0,3,temporal_v3,4,4
budget_03,RUB_AMD,outer_2022,False,365,52.142857142857146,6,0.024291497975708502,0.11506849315068493,5,0.020242914979757085,True,0.0958904109589041,0.4169434931506849,1,4,1,0.8,0.37552826411853885,0.9637768390302125,0.2,,,,,,37.78386233652,37.78386233652,0.0,113.35158700956002,151.13544934607998,188.9193116826,188.9193116826,188.9193116826,0,4,8,0.3333333333333333,58.36389906602,63.0,28.0,0.0,2,2,141.0,3,temporal_v3,4,4
budget_03,RUB_AMD,outer_2023,False,365,52.142857142857146,22,0.08906882591093117,0.42191780821917807,12,0.048582995951417005,True,0.23013698630136986,1.0006643835616438,10,9,3,0.75,0.4676896608793401,0.9110599603710388,0.25,,,,,,42.30187993841667,42.30187993841667,16.4292395487,127.69081590306004,166.12184486395995,203.8192083715,132.8329959375,190.11107618694,0,5,7,0.4166666666666667,12.623789674058335,7.0,6.0,0.6363636363636364,5,5,133.0,3,temporal_v3,4,4
budget_03,RUB_AMD,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_03,RUB_AMD,outer_2025,False,365,52.142857142857146,34,0.13765182186234817,0.6520547945205479,21,0.08502024291497975,True,0.4027397260273972,1.7511626712328767,13,18,3,0.8571428571428571,0.6536350585077049,0.950190782017865,0.14285714285714285,,,,,,32.8682124302,32.8682124302,5.6030142593,86.4192561584,183.4763050786,236.4394993046,168.77835351386668,225.8468604594,0,9,3,0.75,28.433862583338097,7.5,6.0,0.5,4,5,86.0,3,temporal_v3,4,4
budget_03,RUB_AMD,outer_2026,True,241,34.42857142857143,15,0.09375,0.4356846473029045,10,0.0625,True,0.2904564315352697,1.2629408713692947,5,7,3,0.7,0.3967732199795652,0.892210712513788,0.3,,,,,,28.27857785699,28.27857785699,13.1893228816,80.58780748304999,84.30664479007498,88.0254820971,73.41057637066666,86.3726655162,0,4,4,0.5,21.51036816288,7.0,6.0,0.7777777777777778,5,5,93.0,3,temporal_v3,4,4
budget_03,RUB_KGS,outer_2022,False,365,52.142857142857146,5,0.020242914979757085,0.0958904109589041,4,0.016194331983805668,True,0.07671232876712328,0.3335547945205479,1,4,0,1.0,0.5100999795960008,1.0,0.0,,,,,,1.519822508575,1.519822508575,0.0,4.25550302401,5.167396529154997,6.0792900343,,,0,4,8,0.3333333333333333,25.666309490475,85.0,72.2,0.0,1,1,126.0,3,temporal_v3,4,4
budget_03,RUB_KGS,outer_2023,False,365,52.142857142857146,20,0.08097165991902834,0.3835616438356164,11,0.044534412955465584,True,0.21095890410958903,0.9172756849315068,9,9,2,0.8181818181818182,0.5230138624217553,0.9486333993289994,0.18181818181818182,,,,,,41.50035784336364,41.50035784336364,3.6009750332,124.8917325585,176.4955374959,228.0993424333,176.4955374959,217.77858144582,0,5,7,0.4166666666666667,36.20050537495455,7.0,6.0,0.7,5,5,133.0,3,temporal_v3,4,4
budget_03,RUB_KGS,outer_2024,False,366,52.285714285714285,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,366.0,3,temporal_v3,4,4
budget_03,RUB_KGS,outer_2025,False,365,52.142857142857146,31,0.12550607287449392,0.5945205479452055,18,0.0728744939271255,True,0.34520547945205476,1.5009965753424657,13,13,5,0.7222222222222222,0.49126922453805477,0.8750043085364453,0.2777777777777778,,,,,,45.673011784366665,45.673011784366665,2.51389861345,174.72166038586008,239.813325371255,245.3248948338,153.3300388852,242.73121508672,0,9,3,0.75,20.90066212702778,8.0,6.6,0.47058823529411764,4,5,84.0,3,temporal_v3,4,4
budget_03,RUB_KGS,outer_2026,True,241,34.42857142857143,13,0.08125,0.3775933609958506,8,0.05,True,0.23236514522821575,1.0103526970954357,5,7,1,0.875,0.5291051942301385,0.9775830911367039,0.125,,,,,,28.839263148625,28.839263148625,19.979947859950002,63.741857827489994,81.04205577619499,98.3422537249,98.3422537249,98.3422537249,0,3,5,0.375,14.916678182150001,7.0,6.0,0.8571428571428571,5,5,93.0,3,temporal_v3,4,4
budget_03,RUB_KZT,outer_2022,False,365,52.142857142857146,3,0.012145748987854251,0.057534246575342465,3,0.012145748987854251,True,0.057534246575342465,0.25016609589041094,0,2,1,0.6666666666666666,0.20765495512648788,0.9385096847238393,0.3333333333333333,,,,,,91.87026068666665,91.87026068666665,39.1001437621,197.02853939074,216.76958884431997,236.5106382979,236.5106382979,236.5106382979,0,3,9,0.25,69.9057262796,70.5,58.9,0.0,1,1,174.0,3,temporal_v3,4,4
budget_03,RUB_KZT,outer_2023,False,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3,4,4
