run_id,hypothesis_id,model_id,feature_set_id,target_id,strategy,outer_fold,test_year,is_partial_fold,universe_id,corridor,variant,threshold,policy_status,inactive_reason
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_05,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_06,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_07,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_08,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_09,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_10,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_11,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_12,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,budget_13,0.4781937910727346,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KGS,rf_frequency_control,0.42985273541150293,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KZT,operating,0.479278093944253,active,
20260906_h017_weekly_v4_smoke_04,H017_attractiveness_gate_rf,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,6c83e17844187e4f49485ed1,RUB_KZT,budget_00,,inactive,no_quality_feasible_policy
