variant,corridor,baseline,random_mode,universe_id,outcome_id,random_hit_rate,random_hit_rate_mcse,random_hit_rate_ci_low,random_hit_rate_ci_high,model_hit_rate,delta_hit_rate,lift,random_mean_regret_bps,random_p90_regret_bps,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6757746478873239,0.0045615062209583765,0.6197183098591549,0.729225352112676,0.6901408450704225,0.014366197183098617,1.0212588578574406,69.29596108644769,202.25006055205597,3,temporal_v3,4,4
operating,RUB_AMD,future_safety,calendar_month,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.5478873239436619,0.0073129906822479865,0.4679577464788732,0.6588028169014084,0.6901408450704225,0.1422535211267606,1.2596401028277635,101.81653042952017,278.183823842744,3,temporal_v3,4,4
operating,RUB_AMD,future_safety,month_update_gap,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6326760563380283,0.006622622640537854,0.5415492957746478,0.7183098591549296,0.6901408450704225,0.057464788732394245,1.090828138913624,76.84257226653982,216.529940517086,3,temporal_v3,4,4
operating,RUB_AMD,product,calendar_month_weekday,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.5188732394366198,0.004433139429833533,0.4647887323943662,0.5774647887323944,0.6901408450704225,0.17126760563380272,1.330076004343105,70.36259563148592,208.45150468682598,3,temporal_v3,4,4
operating,RUB_AMD,product,calendar_month,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.3974647887323943,0.0062509103256336174,0.302112676056338,0.4647887323943662,0.6901408450704225,0.2926760563380282,1.7363571934798017,97.25231919299203,278.477710316546,3,temporal_v3,4,4
operating,RUB_AMD,product,month_update_gap,6c83e17844187e4f49485ed1:full,gate28_50_and_message_hit_v1,0.4574647887323943,0.006454206514878327,0.38028169014084506,0.5352112676056338,0.6901408450704225,0.23267605633802818,1.5086206896551726,78.83449625394721,216.160892081034,3,temporal_v3,4,4
operating,RUB_AMD,conditional,calendar_month_weekday,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.699154929577465,0.0029778672032193176,0.676056338028169,0.7433098591549295,0.6901408450704225,-0.009014084507042441,0.9871071716357773,58.77667287841561,186.73552023492405,3,temporal_v3,4,4
operating,RUB_AMD,conditional,calendar_month,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6523943661971832,0.005837645973694515,0.566549295774648,0.7183098591549296,0.6901408450704225,0.03774647887323934,1.0578583765112262,84.95478384033738,242.891912824738,3,temporal_v3,4,4
operating,RUB_AMD,conditional,month_update_gap,6c83e17844187e4f49485ed1:gate28_50,conditional_message_hit_v2,0.6757746478873239,0.0046841115420997595,0.6197183098591549,0.7323943661971831,0.6901408450704225,0.014366197183098617,1.0212588578574406,73.05214781821324,212.78094112732597,3,temporal_v3,4,4
operating,RUB_KGS,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,0.6805128205128206,0.004939489474296724,0.6182692307692308,0.753525641025641,0.6410256410256411,-0.0394871794871795,0.9419743782969103,80.73737346787851,252.76311976616216,3,temporal_v3,4,4
