variant,total_signals,signal_hits,signal_hit_rate,matched_random_hit_rate,delta_hit_rate,lift,signals_per_week,signals_per_month,candidates,false_pushes,false_push_rate,mean_realized_regret_bps,false_push_regret_bps_mean,weighted_cell_p90_realized_regret_bps,moment_advantage_bps_mean,suppressed_by_cooldown,cooldown_violations,active_months,inactive_months,active_cells,inactive_cells,active_cell_share,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
operating,380,242,0.6368421052631579,0.6614210526315789,-0.024578947368421034,0.9628391819845628,0.3125734430082256,1.359108401880141,741,138,0.3631578947368421,77.77006239874027,199.64286649992317,208.0539453478291,43.443337261615525,361,0,144,136,20,5,0.8,3,temporal_v3,4,4
rf_frequency_control,1161,666,0.5736434108527132,0.5737812230835486,-0.00013781223083542127,0.9997598174612706,0.9549941245593419,4.152433827849588,4804,495,0.4263565891472868,88.99307962344324,196.71279717240932,249.88371971238075,3.7880183790577098,3643,0,280,0,25,0,1.0,3,temporal_v3,4,4
