corridor,horizon_days,test_year,train_rows,validation_rows,test_rows,threshold,validation_auc,test_auc,signals,signals_per_week,signal_hit_rate,random_hit_rate,random_hit_rate_ci_low,random_hit_rate_ci_high,lift,future_regret_bps_mean,moment_advantage_bps_mean,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high
RUB_TJS,1,2022,1067,246,246,0.9370293244181742,0.6652330743618202,0.6415127070864776,4,0.07909604519774012,1.0,0.8266666666666667,0.5,1.0,1.2096774193548387,0.0,7.07235333545,-21.308494601683957,35.453201272583954
RUB_TJS,1,2023,1314,245,247,0.8235465921905283,0.6434676434676435,0.6241956241956242,41,0.8107344632768362,0.9024390243902439,0.7950406504065041,0.7073170731707317,0.8780487804878049,1.135085387053891,15.49533607025122,3.78113860157805,-6.181648340639979,13.74392554379608
RUB_TJS,1,2024,1560,247,248,0.868940466525441,0.6138996138996139,0.6240523264456667,47,0.9293785310734464,0.9787234042553191,0.8470212765957448,0.7659574468085106,0.9148936170212766,1.1554885707108764,1.9753033115595746,4.924280406844682,-4.4140142325806675,14.262575046270031
RUB_TJS,1,2025,1808,248,247,0.8943797586499477,0.650810167979783,0.6186730506155951,48,0.9464788732394366,0.9791666666666666,0.7668055555555556,0.6875,0.8541666666666666,1.2769425828654228,3.0568609714208335,-2.529867856739583,-9.899414959226393,4.8396792457472255
RUB_TJS,1,2026,2056,246,160,0.8992583021359789,0.6562034597319281,0.6287407407407407,31,0.9393939393939394,1.0,0.8155913978494624,0.7096774193548387,0.9354838709677419,1.2261041529334211,1.5779626248290324,-3.319619526793549,-12.935717957272756,6.296478903685658
RUB_TJS,3,2022,1064,244,246,0.8156630019596919,0.643829224667548,0.6409127843986999,4,0.07909604519774012,1.0,0.44416666666666665,0.0,0.75,2.25140712945591,0.0,223.53777958995002,-193.86850646582636,640.9440656457264
RUB_TJS,3,2023,1311,243,247,0.7285220855646849,0.6316228619107217,0.584023464458247,32,0.632768361581921,0.84375,0.7164583333333333,0.625,0.8125,1.1776679267228847,23.015925200528127,16.743785808546875,1.6761572737595998,31.81141434333415
RUB_TJS,3,2024,1557,245,248,0.7725365145816705,0.6156354662436101,0.6366366366366366,34,0.672316384180791,0.8823529411764706,0.6755882352941178,0.5727941176470589,0.7801470588235286,1.3060513713539394,14.541977013120588,13.430815915320592,-3.1709573652975838,30.03258919593877
RUB_TJS,3,2025,1805,247,247,0.7730577891484038,0.6431159420289855,0.7008130081300813,43,0.847887323943662,0.8604651162790697,0.6055813953488373,0.5116279069767442,0.7209302325581395,1.4208909370199692,26.819534533127914,1.3334592486279069,-12.771291070087983,15.438209567343797
RUB_TJS,3,2026,2054,245,159,0.8119568195903407,0.7187640281310789,0.6504409171075838,26,0.7982456140350878,0.8461538461538461,0.5579487179487178,0.4230769230769231,0.7124999999999991,1.516544117647059,18.38181962279615,2.6245487774500016,-13.378664534093236,18.62776208899324
RUB_TJS,5,2022,1063,243,246,0.5712356757264306,0.5059440559440559,0.5801627737709257,2,0.03954802259887006,0.5,0.6466666666666666,0.0,1.0,0.7731958762886598,212.7534095926,150.6267774003,-135.96631138016,437.21986618076
RUB_TJS,5,2023,1309,241,247,0.5027313314139858,0.5589655172413793,0.5029563932002956,30,0.5932203389830508,0.6333333333333333,0.6892222222222222,0.5666666666666667,0.8,0.9189102047396421,79.10055629042667,-1.463718068646668,-21.73537276422212,18.807936626928786
RUB_TJS,5,2024,1554,243,248,0.6193860632447423,0.5077956159308429,0.574662285505659,28,0.5536723163841808,0.7857142857142857,0.5973809523809525,0.4642857142857143,0.7142857142857143,1.315265045834994,47.623650833099994,10.349339495921427,-11.331153105389689,32.02983209723254
