epsilon_bps,corridor,horizon_days,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3
0,RUB_TJS,3,130,0.5531914893617021,0.5307692307692308,0.41007692307692306,1.2943162633652223,1.307075636110143,0.7834261838440113,3
50,RUB_TJS,3,139,0.5914893617021276,0.8633093525179856,0.6346762589928058,1.3602357742008613,1.4208909370199692,1.1776679267228847,4
100,RUB_TJS,3,157,0.6680851063829787,0.8726114649681529,0.7914225053078557,1.1025861143899558,1.0792753436978029,0.9925780202092461,0
