policy,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
slow,RUB_AMD,10,2026,0.5527486022998519,6,0.19004524886877827,0.8333333333333334,0.3361111111111111,2.479338842975207,1.3333333333333333,6.873310654813744,2.709987395097535
fast,RUB_AMD,20,2022,0.4150369174343851,2,0.03954802259887006,0.0,0.4666666666666667,0.0,,,
slow,RUB_AMD,20,2022,0.4150369174343851,1,0.01977401129943503,0.0,0.4633333333333333,0.0,1.0,3.4678673193955234,3.4678673193955234
fast,RUB_AMD,20,2023,6.313356253269632e-05,51,1.0084745762711864,0.43137254901960786,0.45281045751633997,0.9526558891454964,,,
slow,RUB_AMD,20,2023,6.313356253269632e-05,51,1.0084745762711864,0.45098039215686275,0.45411764705882357,0.9930915371329878,2.7254901960784315,18.208628521600243,15.392611546456436
fast,RUB_AMD,20,2024,0.3138641721442641,28,0.5536723163841808,0.35714285714285715,0.35547619047619045,1.0046885465505695,,,
slow,RUB_AMD,20,2024,0.3138641721442641,27,0.5338983050847458,0.37037037037037035,0.36814814814814817,1.0060362173038229,1.8888888888888888,-12.383309411629865,-17.84974481475965
fast,RUB_AMD,20,2025,0.28501646925939156,44,0.8676056338028169,0.3181818181818182,0.24696969696969698,1.2883435582822085,,,
slow,RUB_AMD,20,2025,0.28501646925939156,39,0.7690140845070422,0.28205128205128205,0.2546153846153846,1.1077542799597182,2.3333333333333335,5.1866501107941865,0.5655575454799333
fast,RUB_AMD,20,2026,0.41714717320227795,19,0.6273584905660378,0.631578947368421,0.2484210526315789,2.5423728813559325,,,
slow,RUB_AMD,20,2026,0.41714717320227795,14,0.46226415094339623,0.7142857142857143,0.2883333333333333,2.4772914946325355,1.5714285714285714,10.368817524315194,12.537682028913588
fast,RUB_KZT,1,2022,0.930505059797107,4,0.07909604519774012,1.0,0.9225,1.0840108401084012,,,
slow,RUB_KZT,1,2022,0.930505059797107,0,0.0,,,,,,
fast,RUB_KZT,1,2023,0.7830963079663211,44,0.8700564971751413,0.9090909090909091,0.693560606060606,1.310759148006554,,,
slow,RUB_KZT,1,2023,0.7830963079663211,30,0.5932203389830508,0.8,0.7536666666666667,1.0614772224679345,2.533333333333333,21.431222901856287,33.02646733167713
fast,RUB_KZT,1,2024,0.8765357079284473,45,0.8898305084745763,0.9333333333333333,0.8142222222222221,1.146288209606987,,,
slow,RUB_KZT,1,2024,0.8765357079284473,23,0.4548022598870057,0.8695652173913043,0.7717391304347826,1.1267605633802817,2.739130434782609,10.508765949814485,0.14364170014324884
fast,RUB_KZT,1,2025,0.8919877912892855,48,0.9464788732394366,0.9583333333333334,0.7093055555555556,1.351086743685138,,,
slow,RUB_KZT,1,2025,0.8919877912892855,16,0.31549295774647884,0.625,0.5779166666666666,1.0814708002883924,2.625,44.01869945787597,5.2570119431344375
fast,RUB_KZT,1,2026,0.9264397229566994,23,0.696969696969697,1.0,0.7171014492753623,1.3945028294260307,,,
slow,RUB_KZT,1,2026,0.9264397229566994,0,0.0,,,,,,
fast,RUB_KZT,3,2022,0.8978232093614109,0,0.0,,,,,,
slow,RUB_KZT,3,2022,0.8978232093614109,0,0.0,,,,,,
fast,RUB_KZT,3,2023,0.7905072981403813,28,0.5536723163841808,0.6785714285714286,0.5896428571428571,1.150817686250757,,,
slow,RUB_KZT,3,2023,0.7905072981403813,11,0.21751412429378533,0.6363636363636364,0.6333333333333333,1.0047846889952154,1.1818181818181819,-20.977759731129524,7.610766498700183
fast,RUB_KZT,3,2024,0.7721034454950952,43,0.8502824858757062,0.813953488372093,0.5973643410852714,1.362574617181417,,,
slow,RUB_KZT,3,2024,0.7721034454950952,21,0.4152542372881356,0.8095238095238095,0.6207936507936507,1.3040143185885966,1.0,5.2533805164298295,14.331098483710836
fast,RUB_KZT,3,2025,0.7374760402540389,48,0.9464788732394366,0.75,0.5184027777777778,1.4467515070328199,,,
slow,RUB_KZT,3,2025,0.7374760402540389,34,0.6704225352112676,0.7058823529411765,0.5224509803921568,1.3510977669356357,1.0,0.9790330365375288,13.395016259255543
fast,RUB_KZT,3,2026,0.7076564932571958,32,0.9824561403508772,0.75,0.6164583333333333,1.2166272389320716,,,
slow,RUB_KZT,3,2026,0.7076564932571958,19,0.5833333333333334,0.7894736842105263,0.5433333333333333,1.4530190506942202,1.0,-2.252974389458842,3.943688902696696
fast,RUB_KZT,5,2022,0.745366017283023,2,0.03954802259887006,0.0,0.7516666666666667,0.0,,,
slow,RUB_KZT,5,2022,0.745366017283023,1,0.01977401129943503,0.0,0.49,0.0,1.0,-60.54108595572983,-60.54108595572983
fast,RUB_KZT,5,2023,0.646475855957163,14,0.2768361581920904,0.5,0.6114285714285714,0.8177570093457944,,,
slow,RUB_KZT,5,2023,0.646475855957163,7,0.1384180790960452,0.8571428571428571,0.818095238095238,1.0477299185098954,1.2857142857142858,-93.62406358269334,-61.0759213105716
fast,RUB_KZT,5,2024,0.6027909074434558,33,0.652542372881356,0.6060606060606061,0.5116161616161616,1.1846001974333662,,,
slow,RUB_KZT,5,2024,0.6027909074434558,18,0.3559322033898305,0.5555555555555556,0.6044444444444445,0.9191176470588236,1.5555555555555556,-11.703608575294856,-3.7255469372793337
fast,RUB_KZT,5,2025,0.5948271938431752,45,0.8873239436619718,0.5777777777777777,0.4548888888888889,1.2701514411333659,,,
slow,RUB_KZT,5,2025,0.5948271938431752,21,0.4140845070422535,0.5238095238095238,0.38523809523809516,1.359703337453647,1.4761904761904763,28.29991132756319,16.667662742129163
fast,RUB_KZT,5,2026,0.5876381526951733,25,0.7709251101321586,0.44,0.5033333333333334,0.8741721854304635,,,
slow,RUB_KZT,5,2026,0.5876381526951733,7,0.2158590308370044,0.5714285714285714,0.5128571428571428,1.1142061281337048,1.5714285714285714,-3.643024110892012,25.00196865894866
fast,RUB_KZT,10,2022,0.5992455129578886,17,0.3361581920903955,0.17647058823529413,0.17117647058823532,1.0309278350515463,,,
slow,RUB_KZT,10,2022,0.5992455129578886,11,0.21751412429378533,0.18181818181818182,0.2539393939393939,0.7159904534606206,1.1818181818181819,-181.6278521604793,-128.8703798558366
fast,RUB_KZT,10,2023,0.0009208862158076372,51,1.0084745762711864,0.4117647058823529,0.442483660130719,0.9305760709010339,,,
slow,RUB_KZT,10,2023,0.0009208862158076372,51,1.0084745762711864,0.45098039215686275,0.43692810457516346,1.032161555721765,2.7254901960784315,26.856171655669726,23.215811485362003
fast,RUB_KZT,10,2024,0.4366919244128342,34,0.672316384180791,0.5,0.3823529411764706,1.3076923076923075,,,
slow,RUB_KZT,10,2024,0.4366919244128342,20,0.3954802259887006,0.3,0.4586666666666667,0.6540697674418604,1.3,-42.48112131039383,-5.816129319774488
fast,RUB_KZT,10,2025,0.40199173483187994,44,0.8676056338028169,0.2727272727272727,0.2875,0.9486166007905138,,,
slow,RUB_KZT,10,2025,0.40199173483187994,32,0.6309859154929577,0.28125,0.26427083333333334,1.064249113125739,1.8125,13.92270675194162,13.527956216969894
fast,RUB_KZT,10,2026,0.45293529541710015,17,0.5384615384615384,0.35294117647058826,0.36627450980392157,0.9635974304068523,,,
slow,RUB_KZT,10,2026,0.45293529541710015,11,0.34841628959276016,0.45454545454545453,0.48,0.946969696969697,1.1818181818181819,-27.41578217255211,-16.736649121767975
fast,RUB_KZT,20,2022,0.3526142675893153,16,0.3163841807909605,0.1875,0.16770833333333332,1.1180124223602486,,,
slow,RUB_KZT,20,2022,0.3526142675893153,13,0.2570621468926554,0.07692307692307693,0.1935897435897436,0.3973509933774835,1.1538461538461537,-145.60342243660915,-130.7813919068923
fast,RUB_KZT,20,2023,0.05503587620308561,28,0.5536723163841808,0.42857142857142855,0.5094047619047618,0.8413180649684507,,,
slow,RUB_KZT,20,2023,0.05503587620308561,24,0.4745762711864407,0.375,0.5141666666666667,0.7293354943273906,2.25,-6.693666392816415,-2.030832483154721
fast,RUB_KZT,20,2024,0.07722946857631685,53,1.0480225988700564,0.32075471698113206,0.3060377358490566,1.0480887792848335,,,
slow,RUB_KZT,20,2024,0.07722946857631685,53,1.0480225988700564,0.32075471698113206,0.3086792452830189,1.039119804400978,2.5849056603773586,1.246571519595787,-5.889878581601948
fast,RUB_KZT,20,2025,0.37103354626608626,18,0.3549295774647887,0.16666666666666666,0.0787037037037037,2.1176470588235294,,,
slow,RUB_KZT,20,2025,0.37103354626608626,8,0.15774647887323942,0.375,0.019583333333333335,19.148936170212764,2.0,7.887130403916167,-2.5074852052875407
fast,RUB_KZT,20,2026,0.2187196525518386,28,0.9245283018867925,0.4642857142857143,0.3435714285714286,1.3513513513513513,,,
slow,RUB_KZT,20,2026,0.2187196525518386,23,0.7594339622641509,0.43478260869565216,0.30057971014492757,1.4464802314368368,2.0434782608695654,17.428112441401606,42.83674440742624
