date,corridor,rub_per_unit,horizon_days,test_year,score,threshold,message_hit,future_regret_bps,moment_advantage_bps,indicator,direction,signal_strength,signal_speed,recommended_scenario,reason_code
2022-02-12,RUB_TJS,6.63893,1,2022,0.9529912030530009,0.9370293244181742,1,0.0,-11.6872110243,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2022-02-19,RUB_TJS,6.7135,1,2022,0.9673223061749711,0.9370293244181742,1,0.0,-0.4021908977,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2022-04-16,RUB_TJS,6.40283,1,2022,0.9379465765449789,0.9370293244181742,1,0.0,49.8891467407,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2022-10-29,RUB_TJS,6.02374,1,2022,0.9511483403111302,0.9370293244181742,1,0.0,-9.5103314769,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-01-14,RUB_TJS,6.59874,1,2023,0.9050675420606781,0.8235465921905283,1,0.0,11.3428226877,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-01-20,RUB_TJS,6.70942,1,2023,0.83303060360045,0.8235465921905283,1,28.6313869157,-8.2887529032,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-01-28,RUB_TJS,6.7429,1,2023,0.9185323330643087,0.8235465921905283,1,0.0,-9.2776083068,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-02-04,RUB_TJS,6.82651,1,2023,0.9001522409052475,0.8235465921905283,1,0.0,-14.5772167052,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-02-18,RUB_TJS,7.10662,1,2023,0.8510752415329772,0.8235465921905283,1,0.0,16.4691878213,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-03-04,RUB_TJS,6.91379,1,2023,0.8530823329024311,0.8235465921905283,1,0.0,0.54477522,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-03-11,RUB_TJS,6.95841,1,2023,0.8862155451625693,0.8235465921905283,1,0.0,-1.5091931422,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-03-24,RUB_TJS,6.992,1,2023,0.8571668104526818,0.8235465921905283,1,0.0,34.4631979225,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-03-31,RUB_TJS,7.06332,1,2023,0.8535360186005355,0.8235465921905283,1,0.0,5.659854089,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-04-15,RUB_TJS,7.46809,1,2023,0.9083486030670324,0.8235465921905283,1,0.0,6.9402845606,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-04-21,RUB_TJS,7.47815,1,2023,0.8695445839277105,0.8235465921905283,1,16.4078013947,-3.8750080265,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-04-28,RUB_TJS,7.47271,1,2023,0.8616602454680751,0.8235465921905283,0,129.0294953237,-40.3933367789,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-05-06,RUB_TJS,7.03886,1,2023,0.8924346511252768,0.8235465921905283,1,0.0,77.0515799639,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-05-12,RUB_TJS,6.95315,1,2023,0.8322487348791163,0.8235465921905283,1,0.0,92.7534607409,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-05-20,RUB_TJS,7.32146,1,2023,0.9528100438403073,0.8235465921905283,1,0.0,5.4604079471,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-05-26,RUB_TJS,7.32865,1,2023,0.8777873588843417,0.8235465921905283,1,2.4561140183,-1.478435315,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-03,RUB_TJS,7.41053,1,2023,0.9206653280860864,0.8235465921905283,1,0.0,3.7140538268,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-09,RUB_TJS,7.52263,1,2023,0.8253432343495075,0.8235465921905283,1,0.0,-3.4973404255,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-17,RUB_TJS,7.6648,1,2023,0.8953514001910711,0.8235465921905283,1,0.0,12.3876554321,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-06-24,RUB_TJS,7.7043,1,2023,0.9177700058666155,0.8235465921905283,1,0.0,-18.8257467553,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-15,RUB_TJS,8.25152,1,2023,0.8603601484689547,0.8235465921905283,1,0.0,2.2495843116,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-22,RUB_TJS,8.27774,1,2023,0.9024119780547291,0.8235465921905283,1,0.0,16.5351054399,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-07-29,RUB_TJS,8.3315,1,2023,0.8544296389452557,0.8235465921905283,1,0.0,-35.0501059934,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-08-26,RUB_TJS,8.64079,1,2023,0.921650827773192,0.8235465921905283,1,0.0,-10.7435734546,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-02,RUB_TJS,8.78848,1,2023,0.9022696525545534,0.8235465921905283,1,0.0,-0.2920575148,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-09,RUB_TJS,8.93362,1,2023,0.8315233541664174,0.8235465921905283,1,0.0,9.4944034462,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-22,RUB_TJS,8.7652,1,2023,0.8598464531644532,0.8235465921905283,1,3.0233194907,17.7281406711,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-09-27,RUB_TJS,8.78002,1,2023,0.8313082784896597,0.8235465921905283,1,0.0,6.2792597379,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-07,RUB_TJS,9.16446,1,2023,0.8995774864657143,0.8235465921905283,1,0.0,-26.2532278634,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-14,RUB_TJS,8.8781,1,2023,0.8699849583611806,0.8235465921905283,1,0.0,-10.723237854,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-20,RUB_TJS,8.87898,1,2023,0.8908750322022609,0.8235465921905283,0,144.633730451,-46.2580744195,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-10-27,RUB_TJS,8.53781,1,2023,0.8982228111332747,0.8235465921905283,1,36.7892937416,-26.4269206198,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-01,RUB_TJS,8.39898,1,2023,0.8563868845007293,0.8235465921905283,1,0.0,90.0070361629,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-09,RUB_TJS,8.41731,1,2023,0.8611303771016643,0.8235465921905283,1,30.3659957873,-2.249839085,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-14,RUB_TJS,8.41096,1,2023,0.9152440743380839,0.8235465921905283,0,96.505036286,-35.3124730304,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-11-24,RUB_TJS,8.04563,1,2023,0.8906338473526764,0.8235465921905283,1,0.0,27.8545432611,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-01,RUB_TJS,8.08834,1,2023,0.9021989685956737,0.8235465921905283,1,0.0,55.6171885021,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-09,RUB_TJS,8.35859,1,2023,0.9245150109875377,0.8235465921905283,1,0.0,34.1194247429,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-15,RUB_TJS,8.17941,1,2023,0.8458548460576492,0.8235465921905283,1,0.0,11.6539110004,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-22,RUB_TJS,8.37125,1,2023,0.8427095858029559,0.8235465921905283,1,0.0,-39.5204616131,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2023-12-28,RUB_TJS,8.36664,1,2023,0.8355956753563774,0.8235465921905283,0,147.4666054713,-48.7465850167,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-01-13,RUB_TJS,8.04759,1,2024,0.95577304543684,0.868940466525441,1,0.0,23.7105968351,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-01-19,RUB_TJS,8.09689,1,2024,0.9061725760745384,0.868940466525441,1,12.7950361188,-15.9822463468,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-01-26,RUB_TJS,8.09557,1,2024,0.879431857740124,0.868940466525441,1,0.0,17.5302597356,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-02,RUB_TJS,8.23408,1,2024,0.8762860827721227,0.868940466525441,1,0.0,-4.6211488233,logistic_message_hit,RUB_to_recipient_currency,base,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
2024-02-10,RUB_TJS,8.2932,1,2024,0.9397666022137848,0.868940466525441,1,0.0,13.951793263,logistic_message_hit,RUB_to_recipient_currency,medium,fast_baseline,positive_push_now,score_above_threshold_outside_cooldown
