hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor
H002_combined_factors,3,50,per_corridor,logistic,2023,0.6811002178649238,0.741950419438925,1312,244,26,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KGS
H002_combined_factors,3,50,per_corridor,logistic,2023,0.6187499999999999,0.6973528369357431,1310,244,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H002_combined_factors,3,50,per_corridor,logistic,2023,0.6488067226890756,0.6961492765062068,1311,244,26,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_KZT
H002_combined_factors,3,50,per_corridor,logistic,2024,0.6161642869733825,0.8309918748111182,1557,245,26,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS
H002_combined_factors,3,50,per_corridor,logistic,2024,0.6565089779005524,0.8403305667975,1559,245,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H002_combined_factors,3,50,per_corridor,logistic,2024,0.60539914468995,0.8240413315129195,1559,245,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H002_combined_factors,3,50,per_corridor,logistic,2024,0.5936752136752137,0.8111828680437374,1557,245,26,"{""C"": 1.0, ""class_weight"": ""none""}",RUB_AMD
H002_combined_factors,3,50,per_corridor,logistic,2024,0.6424410343847684,0.7385424484684108,1558,245,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H002_combined_factors,3,50,per_corridor,logistic,2025,0.6473429951690821,0.8159258136475789,1805,247,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS
H002_combined_factors,3,50,per_corridor,logistic,2025,0.6814674854353645,0.8382307890057918,1807,247,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS
H002_combined_factors,3,50,per_corridor,logistic,2025,0.6410513979574752,0.8137418276630459,1807,247,26,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KGS
H002_combined_factors,3,50,per_corridor,logistic,2025,0.6039232781168266,0.8009061688912847,1805,247,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H002_combined_factors,3,50,per_corridor,logistic,2025,0.6629480886508998,0.7770517828078312,1806,247,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H002_combined_factors,3,50,per_corridor,logistic,2026,0.7198862786173875,0.8111557232727309,2054,245,26,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_TJS
H002_combined_factors,3,50,per_corridor,logistic,2026,0.6195313558174184,0.6924236930894465,2056,245,26,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H002_combined_factors,3,50,per_corridor,logistic,2026,0.7165802362431576,0.8137996395270148,2056,245,26,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS
H002_combined_factors,3,50,per_corridor,logistic,2026,0.736786912751678,0.8172804317286787,2054,245,26,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_AMD
H002_combined_factors,3,50,per_corridor,logistic,2026,0.6286570075229869,0.7092328771159451,2055,245,26,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT
H002_combined_factors,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6567923040529886,0.8183148460324097,5318,1223,31,"{""C"": 0.01, ""class_weight"": ""none""}",ALL
H002_combined_factors,3,50,pooled_with_corridor_thresholds,logistic,2023,0.5994582527972123,0.6551979340003361,6556,1219,31,"{""C"": 0.01, ""class_weight"": ""balanced""}",ALL
H002_combined_factors,3,50,pooled_with_corridor_thresholds,logistic,2024,0.6181928569543067,0.805114992042505,7790,1225,31,"{""C"": 1.0, ""class_weight"": ""balanced""}",ALL
H002_combined_factors,3,50,pooled_with_corridor_thresholds,logistic,2025,0.6557303370786517,0.809048972721859,9030,1235,31,"{""C"": 0.01, ""class_weight"": ""none""}",ALL
H002_combined_factors,3,50,pooled_with_corridor_thresholds,logistic,2026,0.6894862221020798,0.7747610003453103,10275,1225,31,"{""C"": 0.01, ""class_weight"": ""balanced""}",ALL
H006_add_derivatives,3,50,per_corridor,logistic,2022,0.6687922855587527,0.8099563121722342,1064,244,36,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H006_add_derivatives,3,50,per_corridor,logistic,2022,0.6376043673731535,0.8120699818616706,1064,245,36,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_UZS
H006_add_derivatives,3,50,per_corridor,logistic,2022,0.6728787878787877,0.8073541159906646,1064,245,36,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS
H006_add_derivatives,3,50,per_corridor,logistic,2022,0.6788063909774436,0.8347632758332773,1063,244,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_AMD
H006_add_derivatives,3,50,per_corridor,logistic,2022,0.672233300099701,0.8444545028757958,1063,245,36,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_KZT
H006_add_derivatives,3,50,per_corridor,logistic,2023,0.6252955082742317,0.7124527148687185,1311,243,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_TJS
H006_add_derivatives,3,50,per_corridor,logistic,2023,0.636431277056277,0.6777751996109952,1312,244,36,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_UZS
H006_add_derivatives,3,50,per_corridor,logistic,2023,0.687840413943355,0.7564168962876926,1312,244,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H006_add_derivatives,3,50,per_corridor,logistic,2023,0.6125,0.6831486695041242,1310,244,36,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_AMD
H006_add_derivatives,3,50,per_corridor,logistic,2023,0.6494789915966387,0.6922171611170898,1311,244,36,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_KZT
H006_add_derivatives,3,50,per_corridor,logistic,2024,0.6289441212762208,0.8374040682366133,1557,245,36,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS
H006_add_derivatives,3,50,per_corridor,logistic,2024,0.6545234806629834,0.8414694495152282,1559,245,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H006_add_derivatives,3,50,per_corridor,logistic,2024,0.5926585887384177,0.8232900811455471,1559,245,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H006_add_derivatives,3,50,per_corridor,logistic,2024,0.5914529914529915,0.8133249577176771,1557,245,36,"{""C"": 1.0, ""class_weight"": ""none""}",RUB_AMD
H006_add_derivatives,3,50,per_corridor,logistic,2024,0.6415885194657575,0.7483947048272761,1558,245,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H006_add_derivatives,3,50,per_corridor,logistic,2025,0.6422532781228434,0.8207483027372482,1805,247,36,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_TJS
H006_add_derivatives,3,50,per_corridor,logistic,2025,0.6842229570146434,0.840361375337271,1807,247,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H006_add_derivatives,3,50,per_corridor,logistic,2025,0.6541101623974551,0.8223850578487886,1807,247,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H006_add_derivatives,3,50,per_corridor,logistic,2025,0.6049694856146469,0.8023409443079781,1805,247,36,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H006_add_derivatives,3,50,per_corridor,logistic,2025,0.6732113639744162,0.7877892763562121,1806,247,36,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT
H006_add_derivatives,3,50,per_corridor,logistic,2026,0.7201855454137364,0.808944528368353,2054,245,36,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_TJS
H006_add_derivatives,3,50,per_corridor,logistic,2026,0.6249492076391711,0.6991764691500771,2056,245,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H006_add_derivatives,3,50,per_corridor,logistic,2026,0.7149236531259004,0.8125191601300714,2056,245,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H006_add_derivatives,3,50,per_corridor,logistic,2026,0.7443372483221478,0.8248189037309035,2054,245,36,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD
H006_add_derivatives,3,50,per_corridor,logistic,2026,0.6400111451657844,0.7102376848237673,2055,245,36,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H006_add_derivatives,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6560227093518373,0.8178273303188692,5318,1223,41,"{""C"": 0.01, ""class_weight"": ""none""}",ALL
H006_add_derivatives,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6338687283913647,0.700266488873031,6556,1219,41,"{""C"": 10.0, ""class_weight"": ""balanced""}",ALL
H006_add_derivatives,3,50,pooled_with_corridor_thresholds,logistic,2024,0.624584246231819,0.8132035998849066,7790,1225,41,"{""C"": 10.0, ""class_weight"": ""balanced""}",ALL
H006_add_derivatives,3,50,pooled_with_corridor_thresholds,logistic,2025,0.6557303370786517,0.817337227701405,9030,1235,41,"{""C"": 10.0, ""class_weight"": ""none""}",ALL
H006_add_derivatives,3,50,pooled_with_corridor_thresholds,logistic,2026,0.6909363789442857,0.772938013659807,10275,1225,41,"{""C"": 0.01, ""class_weight"": ""balanced""}",ALL
H007_add_usd_eur,3,50,per_corridor,logistic,2022,0.655883039116572,0.801338321603996,1064,244,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,3,50,per_corridor,logistic,2022,0.641859344894027,0.8035595544284266,1064,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_UZS
H007_add_usd_eur,3,50,per_corridor,logistic,2022,0.6771212121212121,0.8143869074891891,1064,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS
H007_add_usd_eur,3,50,per_corridor,logistic,2022,0.6726973684210527,0.827677553870042,1063,244,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H007_add_usd_eur,3,50,per_corridor,logistic,2022,0.7006480558325024,0.8483966257772582,1063,245,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT
H007_add_usd_eur,3,50,per_corridor,logistic,2023,0.6554721179251842,0.7295425128231232,1311,243,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,3,50,per_corridor,logistic,2023,0.67870670995671,0.7362513020166701,1312,244,52,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_UZS
H007_add_usd_eur,3,50,per_corridor,logistic,2023,0.6994825708061002,0.7639624143583598,1312,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,3,50,per_corridor,logistic,2023,0.6261675824175825,0.6847717087860428,1310,244,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H007_add_usd_eur,3,50,per_corridor,logistic,2023,0.6658151260504201,0.6852615721688109,1311,244,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,3,50,per_corridor,logistic,2024,0.5844350431870262,0.8129722486676627,1557,245,52,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,3,50,per_corridor,logistic,2024,0.6022962707182321,0.8174640758323402,1559,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,3,50,per_corridor,logistic,2024,0.5717213114754099,0.809061308293566,1559,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,3,50,per_corridor,logistic,2024,0.5676068376068376,0.7977142499714394,1557,245,52,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_AMD
H007_add_usd_eur,3,50,per_corridor,logistic,2024,0.6339158851946575,0.7418071452048671,1558,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,3,50,per_corridor,logistic,2025,0.6714113181504486,0.8373389003649864,1805,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H007_add_usd_eur,3,50,per_corridor,logistic,2025,0.6750118091639111,0.8144542556585759,1807,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,3,50,per_corridor,logistic,2025,0.6607232546459065,0.8265808270726173,1807,247,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,3,50,per_corridor,logistic,2025,0.6000871839581517,0.8009568496275673,1805,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_AMD
H007_add_usd_eur,3,50,per_corridor,logistic,2025,0.6732857355347315,0.7824463139184528,1806,247,52,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT
H007_add_usd_eur,3,50,per_corridor,logistic,2026,0.7232530300763131,0.8331296935949454,2054,245,52,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_TJS
H007_add_usd_eur,3,50,per_corridor,logistic,2026,0.6143166734389816,0.6744618966509119,2056,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H007_add_usd_eur,3,50,per_corridor,logistic,2026,0.6901469317199654,0.7860868633855821,2056,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KGS
H007_add_usd_eur,3,50,per_corridor,logistic,2026,0.751258389261745,0.8213824730534334,2054,245,52,"{""C"": 1.0, ""class_weight"": ""balanced""}",RUB_AMD
H007_add_usd_eur,3,50,per_corridor,logistic,2026,0.6116606297018667,0.708151651488944,2055,245,52,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_KZT
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2022,0.6586752878094937,0.8140852410476984,5318,1223,57,"{""C"": 0.01, ""class_weight"": ""none""}",ALL
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2023,0.6439250809898457,0.6905543835656538,6556,1219,57,"{""C"": 0.01, ""class_weight"": ""none""}",ALL
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2024,0.5881562970197715,0.7893362373687389,7790,1225,57,"{""C"": 0.01, ""class_weight"": ""balanced""}",ALL
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2025,0.658850350105846,0.8034886238334722,9030,1235,57,"{""C"": 10.0, ""class_weight"": ""none""}",ALL
H007_add_usd_eur,3,50,pooled_with_corridor_thresholds,logistic,2026,0.6869801258116655,0.7699324806816676,10275,1225,57,"{""C"": 0.1, ""class_weight"": ""balanced""}",ALL
