hypothesis_id,horizon_days,epsilon_bps,strategy,model,corridor,folds,signals,signals_per_week,signal_hit_rate,false_push_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,roc_auc,pr_auc,brier,balanced_accuracy,mean_advantage_bps,mean_regret_bps,client_advantage_rub_mean,client_regret_rub_mean
H001_price_core,3,50,per_corridor,logistic,RUB_UZS,5,110,0.46808510638297873,0.5909090909090909,0.40909090909090906,0.5349454545454544,1.1046155937733673,1.3048635824436536,0.9545487921286439,3,0.5697995516889399,0.6860119601135541,0.2628276747009139,0.5315459742327104,-12.24274131109091,72.18183661659546,-122.42741311090909,721.8183661659546
H001_price_core,3,50,per_corridor,logistic,RUB_AMD,5,118,0.502127659574468,0.652542372881356,0.34745762711864403,0.658593220338983,0.9908124662223023,0.9727128449290943,0.0,1,0.5552901434407016,0.7167665787417532,0.2872813447091376,0.5103839008801048,-7.9908332279440675,69.5820303667356,-79.9083322794407,695.820303667356
H001_price_core,3,50,per_corridor,logistic,RUB_KGS,4,114,0.6181254841208366,0.6228070175438597,0.3771929824561403,0.6417719298245613,0.9704491402640717,0.9399645209184184,0.5010020040080161,0,0.5400612602961783,0.7243484668103342,0.2675586445404166,0.524463929615672,-0.8007858318587718,67.16885789698509,-8.00785831858772,671.6885789698509
H001_price_core,3,50,per_corridor,logistic,RUB_KZT,4,128,0.6940356312935708,0.546875,0.453125,0.5690312500000001,0.9610632105003019,0.9483209032495048,0.8742787200559539,1,0.512457921361905,0.6599914449574651,0.26463556350894074,0.510466765493124,-5.306194228292186,87.86217477453046,-53.06194228292186,878.6217477453047
H001_price_core,3,50,per_corridor,logistic,RUB_TJS,4,138,0.748257164988381,0.6159420289855072,0.3840579710144928,0.6690144927536231,0.9206706815129327,0.9436453031990799,0.8335979676087647,0,0.5348147042716409,0.7327673047484448,0.26802529032532313,0.5299687732080073,-5.326468312771015,63.85873802115073,-53.26468312771015,638.5873802115071
H001_price_core,3,50,pooled_with_corridor_thresholds,logistic,RUB_UZS,5,106,0.451063829787234,0.660377358490566,0.339622641509434,0.6017547169811321,1.0974194964412252,1.2128562765312312,0.8846710632137688,2,0.5532237479478921,0.6722302851442808,0.2715955051184297,0.5393215366657355,2.390922140472642,59.71057252516509,23.90922140472642,597.1057252516508
H001_price_core,3,50,pooled_with_corridor_thresholds,logistic,RUB_TJS,5,139,0.5914893617021276,0.6474820143884892,0.3525179856115108,0.6456690647482016,1.0028078620136378,1.0783298826777088,0.8465292301563587,2,0.5524442600209113,0.7248505041082568,0.2689497143098822,0.5321125250460751,-4.294332737164749,62.79698484472519,-42.943327371647484,627.9698484472518
H001_price_core,3,50,pooled_with_corridor_thresholds,logistic,RUB_KZT,4,126,0.6831913245546088,0.5634920634920635,0.4365079365079365,0.5691904761904762,0.9899885663292338,1.0474312714710174,0.9264240033470802,0,0.5306560937156604,0.6744452984246436,0.2631760323215755,0.5224809563410122,-2.501653046942063,74.0914654818738,-25.016530469420623,740.9146548187381
H001_price_core,3,50,pooled_with_corridor_thresholds,logistic,RUB_KGS,5,129,0.548936170212766,0.6201550387596899,0.3798449612403101,0.6371937984496123,0.9732596900167888,0.9733389758781212,0.770152319014205,1,0.5766588601397333,0.7321160851549626,0.26531385146768854,0.5386092085846299,-3.645228319348062,64.34542759079767,-36.45228319348062,643.4542759079766
H001_price_core,3,50,pooled_with_corridor_thresholds,logistic,RUB_AMD,5,164,0.6978723404255319,0.6158536585365854,0.38414634146341464,0.6416219512195122,0.9598388231045559,0.9202453987730063,0.78125,0,0.5508403494083275,0.710114396166342,0.27161863028300776,0.529402198614147,-7.6823863797158545,70.92166613181465,-76.82386379715854,709.2166613181465
