metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
lift,1.1743361472776124,1.0961887693385985,1.2570548653009987,0.04109911921596837,,0.0014,,5000,full_years_only,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,36.365753310071106,23.07710865519571,52.56683470820872,7.685413771025222,,,,5000,full_years_only,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,65.11731613796191,48.96714722661196,82.95311512008414,8.70520221285293,,,,5000,full_years_only,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-28.751562827890805,-41.86185528487301,-17.21079589491517,6.276101652286951,,,1.0,5000,full_years_only,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-32.939388538584474,-65.073654572158,0.6536089751530183,16.71954219323966,,,0.9734,5000,full_years_only,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-75.84559524781399,-144.95256272955498,-23.019039362847558,31.013606749917464,,,0.9998,5000,full_years_only,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.833091964057726,0.7798727713346028,0.8833356102003642,0.026412335972394584,,,,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6946635262170295,0.6551304116046728,0.7340198228194076,0.020287840500372932,,,,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.13842843784069647,0.08890952870686314,0.18796472896279903,0.02519121636874006,1.0,,1.0,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.1998084772294326,1.1257595615623235,1.2768241948922934,0.03881240724691778,,0.0068,,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,24.922658614184854,18.411543489868166,31.844662721366713,3.365487253280974,,,,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,50.87885645722461,40.57343236854766,62.99741071363302,5.667610986216613,,,,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-25.956197843039746,-37.51876915469707,-16.040432734976683,5.542426400867118,,,1.0,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-32.99575370260213,-57.69063974625986,-10.738011987923173,12.031032287201533,,,0.9982,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-61.92425910194749,-110.90504628461748,-25.750568484955018,21.494669069530953,,,0.9996,5000,leave_2022_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.7980279790237447,0.7298445504327857,0.8650513794152698,0.03445592849562487,,,,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6585457046625631,0.6094780427840065,0.7082922230258648,0.025370404480232846,,,,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.13948227436118163,0.08130738307652714,0.19863743726934277,0.029733316519049167,1.0,,1.0,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.2125164226642342,1.1210976944867868,1.3105462535832795,0.04797166259785641,,0.0384,,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,36.88589255262391,22.076691494679405,55.03629850198509,8.59696429827833,,,,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,69.28465059311416,51.03428637881605,89.6553248218167,9.930894844805639,,,,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-32.39875804049024,-46.68408957821449,-19.57269922871813,6.9738241431260395,,,1.0,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-34.10944855995618,-68.3195543859898,2.9908183054337676,18.16666838993901,,,0.9654,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-87.20154157092169,-154.79940373305752,-32.1785793323625,31.856770993878005,,,0.9998,5000,leave_2023_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.7792462073314874,0.7023795681063122,0.8551559522064213,0.03911326495665329,,,,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6261025530848938,0.578773100572452,0.6746587050257941,0.024667262236685136,,,,5000,leave_2024_out,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
