evaluation_view,total_signals,signal_hits,signal_hit_rate,matched_random_hit_rate,delta_hit_rate,lift,signals_per_week,signals_per_month,candidates,false_pushes,false_push_rate,mean_realized_regret_bps,false_push_regret_bps_mean,weighted_cell_p90_realized_regret_bps,moment_advantage_bps_mean,suppressed_by_cooldown,cooldown_violations,active_months,inactive_months,active_cells,inactive_cells,active_cell_share,run_id,artifact_schema_version,evaluation_protocol_version
all_folds,526,420,0.7984790874524715,0.6670522813688213,0.1314268060836502,1.1970262448004172,0.4326674500587544,1.8812921562867213,845,106,0.20152091254752852,35.310207816427194,147.75327098642168,103.1566065411233,27.657914413157993,319,0,202,78,25,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
full_years_only,486,386,0.7942386831275721,0.6775658436213993,0.1166728395061728,1.1721940983367598,0.4657084188911704,2.0249584188911705,790,100,0.205761316872428,36.268340982433955,149.763509678908,106.00393486111477,29.69099586275535,304,0,182,58,20,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
year_2022,42,21,0.5,0.41765476190476186,0.08234523809523814,1.1971610181569423,0.1610958904109589,0.7004650684931507,59,21,0.5,151.29251439233096,296.13147389404764,354.1236024049767,140.7109936763881,17,0,23,37,5,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
leave_2022_out,484,399,0.8243801652892562,0.688694214876033,0.13568595041322318,1.197019152306437,0.506806282722513,2.2036570680628276,786,85,0.1756198347107438,25.24562749372479,111.0951267386553,81.37847880087153,17.847523237423147,302,0,179,41,20,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
year_2023,113,93,0.8230088495575221,0.7099203539823009,0.11308849557522116,1.1592974408197354,0.4334246575342466,1.884584589041096,191,20,0.17699115044247787,28.800973688582303,135.52381296907498,102.77926559320782,23.826747656238936,78,0,49,11,5,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
leave_2023_out,413,327,0.7917675544794189,0.655323244552058,0.1364443099273609,1.2082091716747,0.4324607329842932,1.8803933246073299,654,86,0.20823244552058112,37.09118470854939,150.59733099045582,103.25984994818003,28.706151322436085,241,0,153,67,20,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
year_2024,176,148,0.8409090909090909,0.7515852272727273,0.08932386363636369,1.1188472849053894,0.673224043715847,2.927262295081967,336,28,0.1590909090909091,22.894607059607957,101.11081975889283,64.05398248206073,15.073416356867614,160,0,56,4,5,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
leave_2024_out,350,272,0.7771428571428571,0.6245442857142858,0.15259857142857136,1.2443358700400977,0.36676646706586824,1.5947464446107784,509,78,0.22285714285714286,41.55348133985628,164.4967150168167,122.81964035368047,33.98611915003543,159,0,146,74,20,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
year_2025,155,124,0.8,0.640358064516129,0.15964193548387107,1.2493010462896263,0.5945205479452055,2.5850496575342468,204,31,0.2,25.730111249575483,103.74228398339677,88.75589104914583,20.481409618884513,49,0,54,6,5,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
leave_2025_out,371,296,0.7978436657681941,0.6782048517520216,0.11963881401617249,1.1764051284904655,0.38848167539267014,1.689166884816754,641,75,0.20215633423180593,39.31267403707952,165.944478947672,109.1730779730815,30.656184610226422,270,0,148,72,20,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
year_2026,40,34,0.85,0.5393125,0.3106875,1.5760806582454514,0.23236514522821577,1.0103526970954357,55,6,0.15,23.668889849445,114.24929277831666,68.5615674532265,2.9559748005500004,15,0,20,20,5,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
leave_2026_out,486,386,0.7942386831275721,0.6775658436213993,0.1166728395061728,1.1721940983367598,0.4657084188911704,2.0249584188911705,790,100,0.205761316872428,36.268340982433955,149.763509678908,106.00393486111477,29.69099586275535,304,0,182,58,20,0,1.0,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
